codigo_centro,estado,municipio,parroquia,centro,mesas_2025,electores_2025,regionales_2025,asamblea_2025,tm_2024,tm_2018,tm_2015,url_regionales,url_asamblea_si_existe,evidencia,clasificacion,razon_clasificacion
060802006,BOLÍVAR,BLVNO DE ANGOSTU,SAN FRANCISCO,ESCUELA BASICA UNITARIA JUAS JUAL 1,1,92,si,no,"si (1 mesa(s), 92 electores)","si (1 mesa(s), 66 electores)","si (1 mesa(s), 63 electores)",https://regionales.macedoniadelnorte.com/bolivar/blvno-de-angostu/san-francisco/escuela-basica-unitaria-juas-jual-1,,Regionales API https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f436346dcb578929cfe hash 9ad498b7042ec5b6fb653faa665c8e61f3c5be6f7aee66a24453f6de56ef22c3; HTML Regionales status 200 hash 0e73043c46f1 cache backend/data/2025/regionales_candidate_pages_cache/regionales.macedoniadelnorte.com_bolivar_blvno-de-angostu_san-francisco_escuela-basica-unitaria-juas-jual-1__63505d6a4bad1536.html; Asamblea URL status 404; codigo en TM Asamblea reconstruido: no.,CONFIRMADO,API Regionales 2025 reporta cantidadMesas=1 y votantes>0; pagina publica renderiza el centro; Asamblea 2025 responde 404 y el codigo no esta en el TM reconstruido.
060802011,BOLÍVAR,BLVNO DE ANGOSTU,SAN FRANCISCO,ESCUELA BASICA NACIONAL UNITARIA LOS MONOS NUCLEO ESCOLAR RURAL 188,1,71,si,no,"si (1 mesa(s), 71 electores)","si (1 mesa(s), 66 electores)","si (1 mesa(s), 64 electores)",https://regionales.macedoniadelnorte.com/bolivar/blvno-de-angostu/san-francisco/escuela-basica-nacional-unitaria-los-monos-nucleo-escolar-rural-188,,Regionales API https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f436346dcb578929cfe hash 9ad498b7042ec5b6fb653faa665c8e61f3c5be6f7aee66a24453f6de56ef22c3; HTML Regionales status 200 hash 9ad2d6ae1a85 cache backend/data/2025/regionales_candidate_pages_cache/regionales.macedoniadelnorte.com_bolivar_blvno-de-angostu_san-francisco_escuela-basica-nacional-unitaria-los-monos-nucleo-escolar-rural-188__5e9c0e2b7df450c6.html; Asamblea URL status 404; codigo en TM Asamblea reconstruido: no.,CONFIRMADO,API Regionales 2025 reporta cantidadMesas=1 y votantes>0; pagina publica renderiza el centro; Asamblea 2025 responde 404 y el codigo no esta en el TM reconstruido.
060803009,BOLÍVAR,BLVNO DE ANGOSTU,BARCELONETA,ESCUELA BASICA NACIONAL BOLIVARIANA LAS BONITAS,0,167,si,no,"si (1 mesa(s), 167 electores)","si (1 mesa(s), 123 electores)","si (1 mesa(s), 122 electores)",https://regionales.macedoniadelnorte.com/bolivar/blvno-de-angostu/barceloneta/escuela-basica-nacional-bolivariana-las-bonitas,,Regionales API https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f436346dcb578929d18 hash 6ec6f084ff4526b2e8537e0f9db3405dc9831e9c6766268415a0d6218e863ddb; HTML Regionales status 200 hash 0051cedfe3d2 cache backend/data/2025/regionales_candidate_pages_cache/regionales.macedoniadelnorte.com_bolivar_blvno-de-angostu_barceloneta_escuela-basica-nacional-bolivariana-las-bonitas__e3d29dad2e1f4d07.html; Asamblea URL status 404; codigo en TM Asamblea reconstruido: no.,INDETERMINADO,"Regionales 2025 renderiza el centro y reporta votantes, pero cantidadMesas=0; puede ser activo sin mesa publicada, residual o no usado para el marco Asamblea."
060803010,BOLÍVAR,BLVNO DE ANGOSTU,BARCELONETA,CENTRO DE EDUCACIÒN INTEGRAL BOLIVARIANO CAMPO GRANDE. EL CHIGUAO,0,89,si,no,"si (1 mesa(s), 89 electores)","si (1 mesa(s), 68 electores)","si (1 mesa(s), 66 electores)",https://regionales.macedoniadelnorte.com/bolivar/blvno-de-angostu/barceloneta/centro-de-educacion-integral-bolivariano-campo-grande-el-chiguao,,Regionales API https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f436346dcb578929d18 hash 6ec6f084ff4526b2e8537e0f9db3405dc9831e9c6766268415a0d6218e863ddb; HTML Regionales status 200 hash af3584b4b8f1 cache backend/data/2025/regionales_candidate_pages_cache/regionales.macedoniadelnorte.com_bolivar_blvno-de-angostu_barceloneta_centro-de-educacion-integral-bolivariano-campo-grande-el-chiguao__3d48990a122d49a0.html; Asamblea URL status 404; codigo en TM Asamblea reconstruido: no.,INDETERMINADO,"Regionales 2025 renderiza el centro y reporta votantes, pero cantidadMesas=0; puede ser activo sin mesa publicada, residual o no usado para el marco Asamblea."
220101023,AMAZONAS,ATURES,FERNANDO GIRON TOVAR,CENTRO EDUCATIVO INTEGRAL BOLIVARIANO RIO VENTUARI,1,489,si,no,"si (1 mesa(s), 489 electores)","si (1 mesa(s), 270 electores)","si (1 mesa(s), 283 electores)",https://regionales.macedoniadelnorte.com/amazonas/atures/fernando-giron-tovar/centro-educativo-integral-bolivariano-rio-ventuari,,Regionales API https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f506346dcb578935659 hash 4472c71194c515ecfdd4ca4a11aa82566f906b61d14d9b4036a42bc89305a03c; HTML Regionales status 200 hash 1dcc446fe7f4 cache backend/data/2025/regionales_candidate_pages_cache/regionales.macedoniadelnorte.com_amazonas_atures_fernando-giron-tovar_centro-educativo-integral-bolivariano-rio-ventuari__b07e5a8fcb71a137.html; Asamblea URL status 404; codigo en TM Asamblea reconstruido: no.,CONFIRMADO,API Regionales 2025 reporta cantidadMesas=1 y votantes>0; pagina publica renderiza el centro; Asamblea 2025 responde 404 y el codigo no esta en el TM reconstruido.
220402001,AMAZONAS,RIO NEGRO,SOLANO,ESCUELA BASICA ROMULO GALLEGOS,0,258,si,no,"si (1 mesa(s), 258 electores)","si (1 mesa(s), 280 electores)","si (1 mesa(s), 264 electores)",https://regionales.macedoniadelnorte.com/amazonas/rio-negro/solano/escuela-basica-romulo-gallegos,,Regionales API https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f536346dcb578938fd1 hash 54c3989b56b869f6c97939090177fad0626cd14ccbd7a35cdc61f59e6306933e; HTML Regionales status 200 hash 31eeb2a4dbf5 cache backend/data/2025/regionales_candidate_pages_cache/regionales.macedoniadelnorte.com_amazonas_rio-negro_solano_escuela-basica-romulo-gallegos__0e100e83e926866a.html; Asamblea URL status 404; codigo en TM Asamblea reconstruido: no.,INDETERMINADO,"Regionales 2025 renderiza el centro y reporta votantes, pero cantidadMesas=0; puede ser activo sin mesa publicada, residual o no usado para el marco Asamblea."
220404002,AMAZONAS,RIO NEGRO,COCUY,UNIDAD EDUCATIVA EL COCUY,0,184,si,no,"si (1 mesa(s), 184 electores)",no,no,https://regionales.macedoniadelnorte.com/amazonas/rio-negro/cocuy/unidad-educativa-el-cocuy,,Regionales API https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f536346dcb578938fe2 hash c3b2494af83312de9e44bffbf9bb511c7b4efc3b363865f23c577a26434cbfb3; HTML Regionales status 200 hash 1cdba487a26a cache backend/data/2025/regionales_candidate_pages_cache/regionales.macedoniadelnorte.com_amazonas_rio-negro_cocuy_unidad-educativa-el-cocuy__29fa21980498d895.html; Asamblea URL status 404; codigo en TM Asamblea reconstruido: no.,INDETERMINADO,"Regionales 2025 renderiza el centro y reporta votantes, pero cantidadMesas=0; puede ser activo sin mesa publicada, residual o no usado para el marco Asamblea."
220602004,AMAZONAS,MANAPIARE,ALTO VENTUARI,CENTRO MOVIL CAÑO IGUANA,0,107,si,no,"si (1 mesa(s), 107 electores)","si (1 mesa(s), 107 electores)","si (1 mesa(s), 104 electores)",https://regionales.macedoniadelnorte.com/amazonas/manapiare/alto-ventuari/centro-movil-cano-iguana,,Regionales API https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f536346dcb578939045 hash 5fef4f7a78368f0c021f0012c7089f30062ebb14274541578e1eca940649cd35; HTML Regionales status 200 hash 14bd8e9d0c71 cache backend/data/2025/regionales_candidate_pages_cache/regionales.macedoniadelnorte.com_amazonas_manapiare_alto-ventuari_centro-movil-cano-iguana__e8c44fa1d1f8fc7b.html; Asamblea URL status 404; codigo en TM Asamblea reconstruido: no.,PROBABLE,"Regionales 2025 renderiza el centro y reporta 107 votantes; aparece historicamente con 1 mesa; junto con 220101023 explica aproximadamente la brecha de electores de Amazonas, pero cantidadMesas=0 impide confirmacion plena."
220704002,AMAZONAS,ALTO ORINOCO,MAVACA,UNIDAD EDUCATIVA YANOMAMI I,0,513,si,no,"si (1 mesa(s), 513 electores)","si (1 mesa(s), 478 electores)","si (1 mesa(s), 467 electores)",https://regionales.macedoniadelnorte.com/amazonas/alto-orinoco/mavaca/unidad-educativa-yanomami-i,,Regionales API https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f536346dcb578939092 hash 97eb0bd3e699d20f6102c07fe9c3ce30c86ee164855baa3b3f88e6ec84e21537; HTML Regionales status 200 hash dd97c9b5f57a cache backend/data/2025/regionales_candidate_pages_cache/regionales.macedoniadelnorte.com_amazonas_alto-orinoco_mavaca_unidad-educativa-yanomami-i__c328860196ecedc8.html; Asamblea URL status 404; codigo en TM Asamblea reconstruido: no.,INDETERMINADO,"Regionales 2025 renderiza el centro y reporta votantes, pero cantidadMesas=0; puede ser activo sin mesa publicada, residual o no usado para el marco Asamblea."
230303004,DELTA AMACURO,ANTONIO DIAZ,MANUEL RENAUD,E.B.NTRA. SRA DE LA CONSOLATA - ARAGUABISI,0,467,si,no,"si (1 mesa(s), 467 electores)","si (1 mesa(s), 589 electores)","si (2 mesa(s), 618 electores)",https://regionales.macedoniadelnorte.com/delta-amacuro/antonio-diaz/manuel-renaud/ebntra-sra-de-la-consolata-araguabisi,,Regionales API https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f536346dcb57893915c hash 2b22131e3207f3e7f424a4b91baf52f8dfb92af66eaa4716284c639363e9c8ab; HTML Regionales status 200 hash 477af7b4ef3c cache backend/data/2025/regionales_candidate_pages_cache/regionales.macedoniadelnorte.com_delta-amacuro_antonio-diaz_manuel-renaud_ebntra-sra-de-la-consolata-araguabisi__7e73c295d4e531af.html; Asamblea URL status 404; codigo en TM Asamblea reconstruido: no.,PROBABLE,"Regionales 2025 renderiza el centro y reporta votantes; Asamblea 2025 responde 404; aparece historicamente; el deficit de Delta esta localizado en Antonio Diaz, pero cantidadMesas=0 impide confirmarlo como mesa 2025 por si solo."
