codigo_centro,cod_estado,estado,cod_municipio,municipio,cod_parroquia,parroquia,nombre_centro,numero_mesas,electores_por_mesa,total_electores,source_url,source_api_url,source_hash,cache_ref,presente_tm_2024_v2,presente_tm_2024,presente_tm_2018,presente_tm_2015,incluido_tm_candidato,criterio_inclusion,tm_2024_total_electores,tm_2024_mesas,tm_2018_total_electores,tm_2018_mesas,tm_2015_total_electores,tm_2015_mesas,estado_resolucion,observaciones
050103015,05,BARINAS,01,ARISMENDI,03,LA UNION,CASA DE REFUGIO ANA HERRERA,0,,399,https://regionales.macedoniadelnorte.com/barinas/arismendi/la-union/casa-de-refugio-ana-herrera,https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f426346dcb57892865f,ec860ef44faecfa67ff48ae1b0b2e0bb2d071470ff9b09cb980d472e50cf751c,backend/data/2025/regionales_api_cache/api_centros_parroquiaId_681f4f426346dcb57892865f__51995a808ece14ae.json,si,si,no,no,no,,399,1,,,,,pendiente,Centro presente en Regionales 2025 y ausente del TM Asamblea 2025.
060102037,06,BOLÍVAR,01,CARONI,02,ONCE DE ABRIL,UNIDAD EDUCATIVA COLEGIO LA PRADERA,0,,669,https://regionales.macedoniadelnorte.com/bolivar/caroni/once-de-abril/unidad-educativa-colegio-la-pradera,https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f426346dcb5789292c5,0e0f33cdf74a75d11d46553fb1f653870977d39039cf2e8fe92c4ec4bafa6703,backend/data/2025/regionales_api_cache/api_centros_parroquiaId_681f4f426346dcb5789292c5__c0bb678c937c5f25.json,si,si,si,si,no,,669,1,497,1,487,1,pendiente,Centro presente en Regionales 2025 y ausente del TM Asamblea 2025.
060103016,06,BOLÍVAR,01,CARONI,03,VISTA AL SOL,UNIDAD EDUCATIVA COLEGIO ANDRES ELOY BLANCO,1,271,271,https://regionales.macedoniadelnorte.com/bolivar/caroni/vista-al-sol/unidad-educativa-colegio-andres-eloy-blanco,https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f426346dcb578929288,dde3c4300fba1242dd4af6a1113d32e54ac4cf0ef15275fd4a80a4af07df38e8,backend/data/2025/regionales_api_cache/api_centros_parroquiaId_681f4f426346dcb578929288__bd1a4f5af05c3610.json,si,no,si,si,no,,,,240,1,237,1,recuperable,Centro presente en Regionales 2025 y ausente del TM Asamblea 2025.
060105032,06,BOLÍVAR,01,CARONI,05,DALLA COSTA,COLEGIO JUAN VICENTE GONZALEZ,1,563,563,https://regionales.macedoniadelnorte.com/bolivar/caroni/dalla-costa/colegio-juan-vicente-gonzalez,https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f426346dcb5789293a8,c422734d7e33a91b38dc761b0b2b36c5850fa2fe201f20923ebbcd7ce8863383,backend/data/2025/regionales_api_cache/api_centros_parroquiaId_681f4f426346dcb5789293a8__f6e39ea7b49dd257.json,si,si,si,si,no,,563,1,267,1,262,1,recuperable,Centro presente en Regionales 2025 y ausente del TM Asamblea 2025.
060301020,06,BOLÍVAR,03,ANGOSTURA DEL OR,01,CATEDRAL,ESCUELA ZEA,1,767,767,https://regionales.macedoniadelnorte.com/bolivar/angostura-del-or/catedral/escuela-zea,https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f426346dcb578929669,861ac62ac88fe6006240fefa347a3726f1e9c0d8f6f5dbfb77d77e869f466d6a,backend/data/2025/regionales_api_cache/api_centros_parroquiaId_681f4f426346dcb578929669__c319df7ec3b9b643.json,si,si,si,si,no,,767,1,800,1,797,2,recuperable,Centro presente en Regionales 2025 y ausente del TM Asamblea 2025.
060307004,06,BOLÍVAR,03,ANGOSTURA DEL OR,07,ORINOCO,UNIDA EDUCATIVA INTEGRAL BOLIVARIANA CURIAPO,1,91,91,https://regionales.macedoniadelnorte.com/bolivar/angostura-del-or/orinoco/unida-educativa-integral-bolivariana-curiapo,https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f436346dcb578929acd,62fb130d1392ae0464f383d7cf7a48c10863c79b35fbae874e308eb8032b2de3,backend/data/2025/regionales_api_cache/api_centros_parroquiaId_681f4f436346dcb578929acd__cf0baf2360c1c056.json,si,si,si,si,no,,91,1,78,1,79,1,recuperable,Centro presente en Regionales 2025 y ausente del TM Asamblea 2025.
060403005,06,BOLÍVAR,04,PIAR,03,PEDRO COVA,ESCUELA INTEGRAL BOLIVARIANA EL PLOMO,0,,195,https://regionales.macedoniadelnorte.com/bolivar/piar/pedro-cova/escuela-integral-bolivariana-el-plomo,https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f436346dcb578929b9c,4648c359dc569fcbc34ca2a49eb40afbfd9556f76207c2aa9c5d2bbdf760da6d,backend/data/2025/regionales_api_cache/api_centros_parroquiaId_681f4f436346dcb578929b9c__48d6b16f9ca9ab8b.json,si,si,si,si,no,,195,1,207,1,209,1,pendiente,Centro presente en Regionales 2025 y ausente del TM Asamblea 2025.
060602005,06,BOLÍVAR,06,SUCRE,02,ARIPAO,UNIDAD EDUCATIVA BOLIVARIANA SANTA MARIA DE EREBATO,0,,298,https://regionales.macedoniadelnorte.com/bolivar/sucre/aripao/unidad-educativa-bolivariana-santa-maria-de-erebato,https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f436346dcb578929c2c,156e6ca1254fb9024e500920d0b34e00888732b9abb016fa196dbb8535c8de41,backend/data/2025/regionales_api_cache/api_centros_parroquiaId_681f4f436346dcb578929c2c__a1128c613f2d129d.json,si,no,si,si,no,,,,212,1,211,1,pendiente,Centro presente en Regionales 2025 y ausente del TM Asamblea 2025.
060602006,06,BOLÍVAR,06,SUCRE,02,ARIPAO,CAMPAMENTO ENTRERIOS,0,,282,https://regionales.macedoniadelnorte.com/bolivar/sucre/aripao/campamento-entrerios,https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f436346dcb578929c2c,156e6ca1254fb9024e500920d0b34e00888732b9abb016fa196dbb8535c8de41,backend/data/2025/regionales_api_cache/api_centros_parroquiaId_681f4f436346dcb578929c2c__a1128c613f2d129d.json,si,no,si,si,no,,,,228,1,230,1,pendiente,Centro presente en Regionales 2025 y ausente del TM Asamblea 2025.
060602009,06,BOLÍVAR,06,SUCRE,02,ARIPAO,ESCUELA BOLIVARIANA SHIMARAÑA,0,,141,https://regionales.macedoniadelnorte.com/bolivar/sucre/aripao/escuela-bolivariana-shimarana,https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f436346dcb578929c2c,156e6ca1254fb9024e500920d0b34e00888732b9abb016fa196dbb8535c8de41,backend/data/2025/regionales_api_cache/api_centros_parroquiaId_681f4f436346dcb578929c2c__a1128c613f2d129d.json,si,no,si,si,no,,,,150,1,142,1,pendiente,Centro presente en Regionales 2025 y ausente del TM Asamblea 2025.
