"codigo_centro","codigo_cne_nuevo","codigo_viejo","codigo_cne_viejo","nombre_centro","rep_2004","votos_validos","votos_gobierno","votos_oposicion","votos_otros","votos_nulos","total_votos","pct_gobierno","pct_oposicion","participacion","tipo_centro","fuente_url"
"010104004","010104004","310","310","U B MUNC JUAN BAUTISTA ALBERDI","3946","2652","1725","927","0","0","2652","65.05","34.95","67.21","Computarizado","https://web.archive.org/web/20071118122705id_/http://esdata.info:80/centro/310"
"010104005","010104005","312","312","ESC BAS LEON TRUJILLO","562","416","303","113","0","0","416","72.84","27.16","74.02","Computarizado","https://web.archive.org/web/20071118140650id_/http://esdata.info:80/centro/312"
"010104006","010104006","313","313","CTO DES INT DRA CARMEN COELLO","647","448","292","156","0","0","448","65.18","34.82","69.24","Computarizado","https://web.archive.org/web/20071118140655id_/http://esdata.info:80/centro/313"
"010104007","010104007","314","314","ESC NUESTRA SE ORA DEL ROSARIO","953","663","339","324","0","0","663","51.13","48.87","69.57","Computarizado","https://web.archive.org/web/20080315171859id_/http://www.esdata.info:80/centro/314"
"010104008","010104008","320","320","AMBULATORIO URBANO T 1 MANICOMIO","4179","2360","1418","942","0","0","2360","60.08","39.92","56.47","Computarizado","https://web.archive.org/web/20071118132030id_/http://esdata.info:80/centro/320"
"010104010","010104010","340","340","ESC B DIV ALBERTINA ANDRESSEN","741","489","336","153","0","0","489","68.71","31.29","65.99","Computarizado","https://web.archive.org/web/20071114055459id_/http://www.esdata.info:80/centro/340"
"010104011","010104011","341","341","ESC. UNITARIA N 44","153","154","122","32","0","2","156","79.22","20.78","101.96","Manual","https://web.archive.org/web/20071118140705id_/http://esdata.info:80/centro/341"
"010104012","010104012","350","350","U E P COL AGUSTINIANO SN JUDAS T","3026","2176","1180","996","0","0","2176","54.23","45.77","71.91","Computarizado","https://web.archive.org/web/20080121145811id_/http://www.esdata.info:80/centro/350"
"010104013","010104013","360","360","DISPENSARIO JOSE IZQUIERDO","1510","1046","662","384","0","0","1046","63.29","36.71","69.27","Computarizado","https://web.archive.org/web/20071118140720id_/http://esdata.info:80/centro/360"
"010104014","010104014","370","370","U E NAC LINO GALLARDO","2936","1962","1098","864","0","0","1962","55.96","44.04","66.83","Computarizado","https://web.archive.org/web/20071117175035id_/http://esdata.info:80/centro/370"
"010104015","010104015","380","380","ESC BAS PARROQUIA LA PASTORA","991","675","388","287","0","0","675","57.48","42.52","68.11","Computarizado","https://web.archive.org/web/20071118140740id_/http://esdata.info:80/centro/380"
"010104018","010104018","390","390","U EDUC NAC CRUCITA DELGADO","4729","3423","1832","1591","0","0","3423","53.52","46.48","72.38","Computarizado","https://web.archive.org/web/20071118140756id_/http://esdata.info:80/centro/390"
"010104020","010104020","392","392","GRAN FRATERNIDAD UNIVERSAL","1161","810","415","395","0","0","810","51.23","48.77","69.77","Computarizado","https://web.archive.org/web/20071114003632id_/http://www.esdata.info:80/centro/392"
"010104022","010104022","400","400","ESC BAS SAN FRANCISCO JAVIER","3311","2270","1278","992","0","0","2270","56.3","43.7","68.56","Computarizado","https://web.archive.org/web/20071118140817id_/http://esdata.info:80/centro/400"
"010104024","010104024","410","410","U EDUC DIV ENRIQUE CHAUMET","3634","2436","1479","957","0","0","2436","60.71","39.29","67.03","Computarizado","https://web.archive.org/web/20071118140832id_/http://esdata.info:80/centro/410"
"010104025","010104025","411","411","U E P COLEGIO MODERNO","2603","1932","1018","914","0","0","1932","52.69","47.31","74.22","Computarizado","https://web.archive.org/web/20071114071435id_/http://www.esdata.info:80/centro/411"
"010104026","010104026","412","412","U E D ANTONIO VAAMONDE","376","274","127","147","0","0","274","46.35","53.65","72.87","Computarizado","https://web.archive.org/web/20071118140840id_/http://esdata.info:80/centro/412"
"010104027","010104027","413","413","U E PRIV SAN JUDAS TADEO","438","314","180","134","0","0","314","57.32","42.68","71.69","Computarizado","https://web.archive.org/web/20071118140842id_/http://esdata.info:80/centro/413"
"010104028","010104028","414","414","U E NAC PERU DE LA CROIX","1423","1095","670","425","0","0","1095","61.19","38.81","76.95","Computarizado","https://web.archive.org/web/20071118140847id_/http://esdata.info:80/centro/414"
"010104029","010104029","420","420","U E NAC REPUBLICA DE BOLIVIA","2916","1883","1065","818","0","0","1883","56.56","43.44","64.57","Computarizado","https://web.archive.org/web/20071118140852id_/http://esdata.info:80/centro/420"
"010104030","010104030","421","421","C AGUSTINIANO DIVINA PASTORA","2125","1548","697","851","0","0","1548","45.03","54.97","72.85","Computarizado","https://web.archive.org/web/20071118140857id_/http://esdata.info:80/centro/421"
"010104031","010104031","430","430","UNIV SANTA ROSA DE LIMA","1353","993","498","495","0","0","993","50.15","49.85","73.39","Computarizado","https://web.archive.org/web/20071118140907id_/http://esdata.info:80/centro/430"
"010104032","010104032","440","440","U E NAC JOSE J PAZ CASTILLO","1705","1175","644","531","0","0","1175","54.81","45.19","68.91","Computarizado","https://web.archive.org/web/20071114071510id_/http://www.esdata.info:80/centro/440"
"010104033","010104033","460","460","UND EDUC NAC AGUSTIN AVELEDO","3756","2537","1241","1296","0","0","2537","48.92","51.08","67.55","Computarizado","https://web.archive.org/web/20071114073558id_/http://www.esdata.info:80/centro/460"
"010104034","010104034","461","461","U E D MONSE","606","433","194","239","0","0","433","44.8","55.2","71.45","Computarizado","https://web.archive.org/web/20071114055534id_/http://www.esdata.info:80/centro/461"
"010104036","010104036","470","470","U EDUC B 5 DE JULIO","1765","1204","587","617","0","0","1204","48.75","51.25","68.22","Computarizado","https://web.archive.org/web/20071118140917id_/http://esdata.info:80/centro/470"
"010104037","010104037","480","480","U DISTRITAL URDANETA","1507","1014","498","516","0","0","1014","49.11","50.89","67.29","Computarizado","https://web.archive.org/web/20071114011937id_/http://www.esdata.info:80/centro/480"
"010104038","010104038","490","490","ESC BAS ESTEBAN GIL BORGES","2096","1402","749","653","0","0","1402","53.42","46.58","66.89","Computarizado","https://web.archive.org/web/20071118132035id_/http://esdata.info:80/centro/490"
"010104039","010104039","491","491","U DISTRITAL RIVAS","872","603","281","322","0","0","603","46.6","53.4","69.15","Computarizado","https://web.archive.org/web/20071118140927id_/http://esdata.info:80/centro/491"
"010104040","010104040","492","492","U E PRQ NUESTRA SRA DE COROMOTO","408","329","169","160","0","0","329","51.37","48.63","80.64","Computarizado","https://web.archive.org/web/20071118140932id_/http://esdata.info:80/centro/492"
"010105002","010105002","510","510","COLEGIO CORAZON DE MARIA","1862","1247","634","613","0","0","1247","50.84","49.16","66.97","Computarizado","https://web.archive.org/web/20071125210932id_/http://www.esdata.info:80/centro/510"
"010105003","010105003","520","520","DISPENSARIO DR CARDOZO","1059","677","371","306","0","0","677","54.8","45.2","63.93","Computarizado","https://web.archive.org/web/20080120071256id_/http://esdata.info:80/centro/520"
"010105004","010105004","540","540","COLG NAZARENO DE SAN PABLO","1115","738","364","374","0","0","738","49.32","50.68","66.19","Computarizado","https://web.archive.org/web/20071120035436id_/http://www.esdata.info:80/centro/540"
"010105005","010105005","552","552","ESCUELA DE ARTES PLASTICAS CRISTOBAL ROJAS","1867","1278","542","736","0","0","1278","42.41","57.59","68.45","Computarizado","https://web.archive.org/web/20071114071628id_/http://www.esdata.info:80/centro/552"
"010105008","010105008","555","555","SEPACE","4824","3125","1242","1883","0","0","3125","39.74","60.26","64.78","Computarizado","https://web.archive.org/web/20071114003840id_/http://www.esdata.info:80/centro/555"
"010105010","010105010","560","560","U B NAC ELIAS RODRIGUEZ","2489","1639","1286","353","0","0","1639","78.46","21.54","65.85","Computarizado","https://web.archive.org/web/20071205103911id_/http://www.esdata.info:80/centro/560"
"010105011","010105011","561","561","COLEGIO MIGUEL ANGEL","1726","1238","871","367","0","0","1238","70.36","29.64","71.73","Computarizado","https://web.archive.org/web/20080121002627id_/http://www.esdata.info:80/centro/561"
"010105012","010105012","562","562","PRE ESC J I CONCEPCION MARI#O","515","427","315","112","0","0","427","73.77","26.23","82.91","Computarizado","https://web.archive.org/web/20080207024255id_/http://www.esdata.info:80/centro/562"
"010105013","010105013","570","570","ESC NAC MANUEL FOMBONA PACHANO","4328","2888","2212","676","0","0","2888","76.59","23.41","66.73","Computarizado","https://web.archive.org/web/20071121053307id_/http://www.esdata.info:80/centro/570"
"010105015","010105015","580","580","G ESC MUNICIPAL JUAN LANDAETA","3433","2132","1561","571","0","0","2132","73.22","26.78","62.1","Computarizado","https://web.archive.org/web/20071125210947id_/http://www.esdata.info:80/centro/580"
"010105016","010105016","581","581","ESC.NERIDA SISO DE VAZQUEZ","2356","1691","1074","617","0","0","1691","63.51","36.49","71.77","Computarizado","https://web.archive.org/web/20071114073716id_/http://www.esdata.info:80/centro/581"
"010106001","010106001","20","20","UND BASC ANTONIO ORNES","1406","894","602","292","0","0","894","67.34","32.66","63.58","Computarizado","https://web.archive.org/web/20080224142912id_/http://www.esdata.info:80/centro/20"
"010106002","010106002","590","590","G E NAC JESUS MARIA PAEZ","3740","2546","1537","1009","0","0","2546","60.37","39.63","68.07","Computarizado","https://web.archive.org/web/20071204005137id_/http://www.esdata.info:80/centro/590"
"010106003","010106003","600","600","UNID EDUC BERNARDO O' HIGGINS","2989","2015","1078","937","0","0","2015","53.5","46.5","67.41","Computarizado","https://web.archive.org/web/20071118140947id_/http://www.esdata.info:80/centro/600"
"010106004","010106004","650","650","U EDUCATIVA ARMADO ZULOAGA","5081","3500","1476","2024","0","0","3500","42.17","57.83","68.88","Computarizado","https://web.archive.org/web/20071114062912id_/http://www.esdata.info:80/centro/650"
"010106005","010106005","651","651","COLEGIO LA TRINIDAD","2547","1693","834","859","0","0","1693","49.26","50.74","66.47","Computarizado","https://web.archive.org/web/20071114004406id_/http://www.esdata.info:80/centro/651"
"010106008","010106008","660","660","ESCUELA MUNICIPAL ANZOATEGUI","1566","1016","453","563","0","0","1016","44.59","55.41","64.88","Computarizado","https://web.archive.org/web/20071128052344id_/http://www.esdata.info:80/centro/660"
"010106009","010106009","661","661","COLEGIO PADRE MADARIAGA","1911","1442","589","853","0","0","1442","40.85","59.15","75.46","Computarizado","https://web.archive.org/web/20071126013739id_/http://www.esdata.info:80/centro/661"
"010106010","010106010","670","670","LICEO STOS MICHELENA","5074","3376","1299","2077","0","0","3376","38.48","61.52","66.54","Computarizado","https://web.archive.org/web/20071121042543id_/http://www.esdata.info:80/centro/670"
"010106011","010106011","680","680","LICEO RAFAEL URDANETA","4745","3085","1205","1880","0","0","3085","39.06","60.94","65.02","Computarizado","https://web.archive.org/web/20080124112551id_/http://esdata.info:80/centro/680"
"010106012","010106012","710","710","HOSPITAL RISQUEZ","2265","1546","992","554","0","0","1546","64.17","35.83","68.26","Computarizado","https://web.archive.org/web/20071205231322id_/http://www.esdata.info:80/centro/710"
"010106013","010106013","711","711","COL MARIA INMACULADA","1733","1260","423","837","0","0","1260","33.57","66.43","72.71","Computarizado","https://web.archive.org/web/20080124195801id_/http://esdata.info:80/centro/711"
"010107001","010107001","720","720","ESC BAS TEOTISTE DE GALLEGOS","1961","1382","1056","326","0","0","1382","76.41","23.59","70.47","Computarizado","https://web.archive.org/web/20071205120938id_/http://www.esdata.info:80/centro/720"
"010107002","010107002","730","730","ESCUELA NACIONAL ZOE XIQUES SILVA","5536","3664","2590","1074","0","0","3664","70.69","29.31","66.18","Computarizado","https://web.archive.org/web/20071114071806id_/http://www.esdata.info:80/centro/730"
"010107007","010107007","740","740","COLEGIO MUNICIPAL CAJIGAL","1260","871","661","210","0","0","871","75.89","24.11","69.13","Computarizado","https://web.archive.org/web/20071114071812id_/http://www.esdata.info:80/centro/740"
"010107008","010107008","750","750","ESC BAS ANGEL RIVAS BALDWIN","1668","1094","822","272","0","0","1094","75.14","24.86","65.59","Computarizado","https://web.archive.org/web/20071127083647id_/http://www.esdata.info:80/centro/750"
"010107010","010107010","760","760","ESCUELA NACIONAL 19 DE ABRIL","7650","4264","2434","1830","0","0","4264","57.08","42.92","55.74","Computarizado","https://web.archive.org/web/20071118141013id_/http://www.esdata.info:80/centro/760"
"010107011","010107011","761","761","U EDUC PARTICULAR SAN JUAN","1793","1267","562","705","0","0","1267","44.36","55.64","70.66","Computarizado","https://web.archive.org/web/20071114071817id_/http://www.esdata.info:80/centro/761"
"010107012","010107012","762","762","LICEO 25 DE JULIO","4378","2982","1394","1588","0","0","2982","46.75","53.25","68.11","Computarizado","https://web.archive.org/web/20071114073803id_/http://www.esdata.info:80/centro/762"
"010107013","010107013","770","770","INCE SAN MARTIN","4511","3005","1487","1518","0","0","3005","49.48","50.52","66.61","Computarizado","https://web.archive.org/web/20071114073808id_/http://www.esdata.info:80/centro/770"
"010107014","010107014","780","780","IPOSTEL EL SILENCIO","704","479","235","244","0","0","479","49.06","50.94","68.04","Computarizado","https://web.archive.org/web/20080124195806id_/http://esdata.info:80/centro/780"
"010107015","010107015","781","781","PRE-ESCOLAR GABRIELA MISTRAL","943","637","332","305","0","0","637","52.12","47.88","67.55","Computarizado","https://web.archive.org/web/20080112025508id_/http://www.esdata.info:80/centro/781"
"010107016","010107016","790","790","ESCUELA NACIONAL GUZMAN BLANCO","1792","1127","578","549","0","0","1127","51.29","48.71","62.89","Computarizado","https://web.archive.org/web/20071204024344id_/http://www.esdata.info:80/centro/790"
"010107017","010107017","800","800","INSTITUTO NACIONAL DE NUTRICION","3637","2430","958","1472","0","0","2430","39.42","60.58","66.81","Computarizado","https://web.archive.org/web/20071114004442id_/http://www.esdata.info:80/centro/800"
"010107018","010107018","811","811","ESC SAN JUAN BAUTISTA","3547","2212","1139","1073","0","0","2212","51.49","48.51","62.36","Computarizado","https://web.archive.org/web/20071127083652id_/http://www.esdata.info:80/centro/811"
"010107019","010107019","812","812","COL. SAN FRANCISCO DE ASIS","1550","1015","636","379","0","0","1015","62.66","37.34","65.48","Computarizado","https://web.archive.org/web/20071204035343id_/http://esdata.info:80/centro/812"
"010107020","010107020","830","830","E B AGUSTIN ZAMORA","2247","1604","847","757","0","0","1604","52.81","47.19","71.38","Computarizado","https://web.archive.org/web/20071123064849id_/http://www.esdata.info:80/centro/830"
"010107021","010107021","840","840","G ESC MIGUEL VILLAVICENCIO","5519","3792","2277","1515","0","0","3792","60.05","39.95","68.71","Computarizado","https://web.archive.org/web/20071123144528id_/http://www.esdata.info:80/centro/840"
"010107022","010107022","841","841","GRUPO ESCOLAR LUIS PADRINO","3680","2632","1223","1409","0","0","2632","46.47","53.53","71.52","Computarizado","https://web.archive.org/web/20071114055550id_/http://www.esdata.info:80/centro/841"
"010107023","010107023","843","843","GUARDERIA CIUDAD DE LOS NI#OS C.P.E Y M. ARTIGAS","1011","721","427","294","0","0","721","59.22","40.78","71.32","Computarizado","https://web.archive.org/web/20080111231924id_/http://www.esdata.info:80/centro/843"
"010107024","010107024","850","850","COLEGIO SAN MARTIN","4261","2824","1418","1406","0","0","2824","50.21","49.79","66.28","Computarizado","https://web.archive.org/web/20071114071844id_/http://www.esdata.info:80/centro/850"
"010107026","010107026","860","860","HOSPITAL MILITAR","1624","1125","859","266","0","0","1125","76.36","23.64","69.27","Computarizado","https://web.archive.org/web/20080112183925id_/http://www.esdata.info:80/centro/860"
"010107027","010107027","870","870","ESC MUNICIPAL LEONCIO MARTINEZ","2905","1863","1342","521","0","0","1863","72.03","27.97","64.13","Computarizado","https://web.archive.org/web/20071114073827id_/http://www.esdata.info:80/centro/870"
