nombre,lat,lon,riesgo
CASA PARROQUIAL DE GUATIRE,10.4714,-66.5408,1
CASA PARROQUIAL ZORCA SAN ISIDRO,7.80422,-72.262,1
CASA SINDICAL,10.0788,-69.3312,1
CASA SINDICAL LUIS MORENO,10.4727,-66.5434,1
CASA TALLER LUISA CACERES DE ARISMENDI,10.4566,-66.6142,1
CEI LAS ESPERANZAS,9.24241,-70.277,1
CENTRO  INICIAL  BOLIVARIANO CAMINO NUEVO,10.075,-69.1424,1
CENTRO (MOVIL) SECTOR SANTA EDUVIGES,10.5942,-66.996,1
CENTRO AMBULATORIO DOCTOR DILIO SEQUERA PERAZA IVSS,10.5055,-66.8943,1
CENTRO CIVICO MANUEL RAMOS MARCOS,10.4547,-66.8274,1
CENTRO COMUNAL GUARENAS,10.467,-66.6202,1
CENTRO COMUNITARIO C E N C O N,10.4779,-66.8009,1
CENTRO COMUNITARIO DE PROTECCION Y DESARROLLO ESTUDIANTIL,10.0868,-69.3381,1
CENTRO COMUNITARIO LA FLORIDA,9.13074,-62.0697,1
CENTRO CULTURAL DALIA FERNANDEZ,10.5638,-71.6587,1
CENTRO CULTURAL MAGO,10.4557,-66.621,1
CENTRO CULTURAL MIGUEL PARRA,10.4708,-66.6137,1
CENTRO DE ATENCION INTEGRAL,9.04503,-69.7257,1
CENTRO DE ATENCION INTEGRAL AL CIUDADANO,10.4862,-66.7491,1
CENTRO DE BELLAS ARTES AMANDA MUÑOZ,9.0542,-69.7314,1
CENTRO DE DESARROLLO DESTREZAS COGNITIVAS TIERNO AMANECER,10.0824,-69.2911,1
CENTRO DE EDUC. ESPECIAL AMAZONAS,5.66707,-67.6279,1
CENTRO DE EDUCACION  INICIAL BOLIVARIANO  IGNACIO GREGORIO MENDEZ,10.3273,-68.7443,1
CENTRO DE EDUCACION  INICIAL YURUBI,10.3449,-68.7538,1
CENTRO DE EDUCACION INCIAL FRANCISCO JAVIER USTARIZ,10.1485,-68.5695,1
CENTRO DE EDUCACIÓN INCIAL MOISES Y LUISA ZISMAN,10.085,-69.3172,1
CENTRO DE EDUCACION INFANTIL MIGUEL SUNIAGA,10.6289,-71.6712,1
CENTRO DE EDUCACION INICIAL   NACIONAL ANGELITOS NEGRO,10.6542,-71.6002,1
CENTRO DE EDUCACION INICIAL  25 DE MAYO,8.64054,-70.2325,1
CENTRO DE EDUCACION INICIAL  BOLIVARIANO LA PEÑITA,10.1672,-68.8932,1
CENTRO DE EDUCACION INICIAL  BOLIVARIANO MANUEL CEDEÑO.,10.0828,-69.1284,1
CENTRO DE EDUCACION INICIAL  CONVENCIONAL DOCTOR RUBEN VILLALBA,10.3289,-68.7471,1
CENTRO DE EDUCACION INICIAL  NIÑO VENEZOLANO,8.60312,-70.1941,1
CENTRO DE EDUCACION INICIAL  VARYNA,8.61305,-70.1955,1
CENTRO DE EDUCACIÓN INICIAL ALBORADA,9.28392,-70.6289,1
CENTRO DE EDUCACIÓN INICIAL ALTO DE LOS GODOS 2,9.72936,-63.1951,1
CENTRO DE EDUCACIÓN INICIAL ALTO DE LOS GODOS I,9.73207,-63.1973,1
CENTRO DE EDUCACION INICIAL AMOR Y ALEGRIA,10.5559,-71.6481,1
CENTRO DE EDUCACION INICIAL ANDRES BELLO,10.1447,-68.5651,1
CENTRO DE EDUCACION INICIAL ANTONIO JOSE DE SUCRE,9.5325,-69.2184,1
CENTRO DE EDUCACIÓN INICIAL BACHILLER JOSÉ JOAQUÍN DE LEÓN,10.9505,-63.8563,1
CENTRO DE EDUCACION INICIAL BATALLA DE PICHINCHA,10.4762,-64.164,1
CENTRO DE EDUCACION INICIAL BOLIVARIANO  LA MORITA,10.3225,-68.7831,1
CENTRO DE EDUCACIÓN INICIAL BOLIVARIANO CECILIA NÚÑEZ SUCRE,9.75746,-63.1528,1
CENTRO DE EDUCACION INICIAL BOLIVARIANO EL ESTADIUM,10.163,-68.8952,1
CENTRO DE EDUCACION INICIAL BOLIVARIANO JACINTO LARA I,10.098,-69.3272,1
CENTRO DE EDUCACION INICIAL BOLIVARIANO JESUS MILLAN,10.0839,-69.1159,1
CENTRO DE EDUCACION INICIAL BOLIVARIANO JESUS MILLAN NUCLEO EL PEGON,10.0808,-69.1297,1
CENTRO DE EDUCACION INICIAL BOLIVARIANO LAS GRANJITAS,9.91143,-68.3106,1
CENTRO DE EDUCACION INICIAL BOLIVARIANO LAS TAPIAS I,10.3389,-68.7205,1
CENTRO DE EDUCACION INICIAL BOLIVARIANO LAS TAPIAS II,10.3404,-68.7358,1
CENTRO DE EDUCACION INICIAL BOLIVARIANO MARIA DOLORES MOSQUERA,10.076,-69.1416,1
CENTRO DE EDUCACION INICIAL BOLIVARIANO MIGUEL ANGEL GRANADOS,10.1536,-68.5695,1
CENTRO DE EDUCACION INICIAL BOLIVARIANO PEGUAIMA,10.1489,-68.9006,1
CENTRO DE EDUCACION INICIAL BOLIVARIANO REINA BARRETO,9.32787,-70.5973,1
CENTRO DE EDUCACION INICIAL BOLIVARIANO ROMULO GALLEGOS,9.56104,-69.1817,1
CENTRO DE EDUCACION INICIAL BOLIVARIANO SABANITA,10.0692,-69.102,1
CENTRO DE EDUCACION INICIAL BOLIVARIANO SAN GERONIMO,10.3809,-68.71,1
CENTRO DE EDUCACION INICIAL BOLIVARIANO SIMONCITO EL PAUJI,10.3288,-68.7743,1
CENTRO DE EDUCACION INICIAL BOLIVARIANO SIMONCITO JEAN PIAGET,10.0295,-69.3619,1
CENTRO DE EDUCACION INICIAL BOLIVARIANO SIMONCITO POZO DE LA VACA,10.1674,-68.5693,1
CENTRO DE EDUCACION INICIAL BOLIVARIANO STTE CARLOS A. COLMENAREZ YANEZ,10.3498,-68.7245,1
CENTRO DE EDUCACION INICIAL BRISA MAR,10.4312,-64.1391,1
CENTRO DE EDUCACION INICIAL BRISAS DEL ZULIA,10.5712,-71.6371,1
CENTRO DE EDUCACION INICIAL CANDIDO SÁNCHEZ,10.9615,-63.8349,1
CENTRO DE EDUCACION INICIAL CECILIA BAZAN DE SEGURA,10.1629,-68.8951,1
CENTRO DE EDUCACION INICIAL CENTENARIO ANDRES ELOY BLANCO,10.4494,-64.1461,1
CENTRO DE EDUCACION INICIAL CREACION EL MUCHACHITO,10.0806,-69.3102,1
CENTRO DE EDUCACION INICIAL CREACION FE Y ALEGRIA,10.4452,-64.1829,1
CENTRO DE EDUCACION INICIAL CUERPO DE BOMBEROS,10.3293,-68.7531,1
CENTRO DE EDUCACION INICIAL DON GERMAN PRADO GOMEZ,10.1005,-69.3136,1
CENTRO DE EDUCACIÓN INICIAL DOÑA FAUSTINA SAEZ DE ALFARO,9.74671,-63.1443,1
