codigo_centro,nombre_centro,direccion,cod_estado,estado,cod_municipio,municipio,cod_parroquia,parroquia,numero_mesa,electores,circuito_an,lat,lon,riesgo,origen_mesas
010101008,UNIDAD EDUCATIVA NACIONAL SIMÓN BOLÍVAR,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,4,824,,,,1,acta
010101008,UNIDAD EDUCATIVA NACIONAL SIMÓN BOLÍVAR,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,5,824,,,,1,acta
010101008,UNIDAD EDUCATIVA NACIONAL SIMÓN BOLÍVAR,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,6,824,,,,1,acta
010101009,UNIDAD EDUCATIVA SANTA TERESA DEL NIÑO JESÚS,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,1,931,,,,1,acta
010101009,UNIDAD EDUCATIVA SANTA TERESA DEL NIÑO JESÚS,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,2,931,,,,1,acta
010101009,UNIDAD EDUCATIVA SANTA TERESA DEL NIÑO JESÚS,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,3,930,,,,1,acta
010101010,CENTRO DE EDUCACIÓN INICIAL RAFAEL MARIA BARALT,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,1,684,,,,1,acta
010101010,CENTRO DE EDUCACIÓN INICIAL RAFAEL MARIA BARALT,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,2,684,,,,1,acta
010101025,CENTRO MUNICIPAL DE ATENCIÓN INTEGRAL ALTAGRACIA (CMAI),,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,1,521,,,,1,derivado
010101025,CENTRO MUNICIPAL DE ATENCIÓN INTEGRAL ALTAGRACIA (CMAI),,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,2,521,,,,1,derivado
010101026,CENTRO DE EDUCACIÓN INICIAL SAMUEL ROBINSÓN,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,1,535,,,,1,acta
010101026,CENTRO DE EDUCACIÓN INICIAL SAMUEL ROBINSÓN,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,2,535,,,,1,acta
010101027,UNIDAD EDUCATIVA DISTRITAL ANTONIO ORNES,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,1,646,,,,1,derivado
010101027,UNIDAD EDUCATIVA DISTRITAL ANTONIO ORNES,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,2,645,,,,1,derivado
010101028,BIBLIOTECA NACIONAL SALA UNO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,1,687,,,,1,derivado
010101028,BIBLIOTECA NACIONAL SALA UNO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,2,687,,,,1,derivado
010101028,BIBLIOTECA NACIONAL SALA UNO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,3,687,,,,1,derivado
010101031,CASA DE NUESTRA AMERICA JOSE MARTI,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,1,609,,,,1,acta
010101031,CASA DE NUESTRA AMERICA JOSE MARTI,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,2,609,,,,1,acta
010101032,UNIDAD EDUCATIVA FUENTE DEL SABER,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,1,888,,,,1,derivado
010101033,UNIDAD EDUCATIVA CENTRO  ORIENTACIÓN PEDAGÓGICA  ANDRÉS ELOY BLANCOELOY BLANCO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,1,855,,,,1,acta
010101035,CASA VILLAS DEL SOL,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,1,273,,,,1,derivado
010101036,OFICINA PRESIDENCIAL PARA PROYECTOS ESPECIALES 06,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,1,304,,,,1,acta
010101037,SALA SITUACIONAL PANTEÓN NACIONAL,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,1,202,,,,1,acta
010101038,REGISTRO CIVIL DE ALTAGRACIA,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,1,385,,,,1,derivado
010101039,CASA COMUNAL LA TRILLA NÚMERO 13,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,1,274,,,,1,acta
010102004,ESCUELA MUNICIPAL JOSÉ RAMÓN CAMEJO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,1,832,,,,1,acta
010102004,ESCUELA MUNICIPAL JOSÉ RAMÓN CAMEJO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,2,831,,,,1,acta
010102005,COLEGIO LA VIRGEN NIÑA,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,1,813,,,,1,derivado
010102005,COLEGIO LA VIRGEN NIÑA,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,2,813,,,,1,derivado
010102005,COLEGIO LA VIRGEN NIÑA,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,3,812,,,,1,derivado
010102006,COLEGIO SAN FRANCISCO DE SALES,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,1,776,,,,1,derivado
010102006,COLEGIO SAN FRANCISCO DE SALES,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,2,776,,,,1,derivado
010102006,COLEGIO SAN FRANCISCO DE SALES,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,3,776,,,,1,derivado
010102006,COLEGIO SAN FRANCISCO DE SALES,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,4,775,,,,1,derivado
010102006,COLEGIO SAN FRANCISCO DE SALES,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,5,775,,,,1,derivado
010102007,ESCUELA BASICA JOSEFINA DAVIOT,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,1,834,,,,1,derivado
010102007,ESCUELA BASICA JOSEFINA DAVIOT,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,2,833,,,,1,derivado
010102008,ESCUELA EXPERIMENTAL VENEZUELA,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,1,959,,,,1,acta
010102008,ESCUELA EXPERIMENTAL VENEZUELA,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,2,959,,,,1,acta
010102008,ESCUELA EXPERIMENTAL VENEZUELA,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,3,959,,,,1,acta
010102008,ESCUELA EXPERIMENTAL VENEZUELA,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,4,959,,,,1,acta
010102008,ESCUELA EXPERIMENTAL VENEZUELA,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,5,958,,,,1,acta
010102009,PATRONATO SAN JOSÉ DE TARBES,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,1,763,,,,1,acta
010102009,PATRONATO SAN JOSÉ DE TARBES,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,2,763,,,,1,acta
010102009,PATRONATO SAN JOSÉ DE TARBES,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,3,763,,,,1,acta
010102009,PATRONATO SAN JOSÉ DE TARBES,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,4,762,,,,1,acta
010102010,LICEO ANDRÉS BELLO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,1,885,,,,1,acta
010102010,LICEO ANDRÉS BELLO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,2,884,,,,1,acta
010102010,LICEO ANDRÉS BELLO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,3,884,,,,1,acta
010102010,LICEO ANDRÉS BELLO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,4,884,,,,1,acta
010102010,LICEO ANDRÉS BELLO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,5,884,,,,1,acta
010102010,LICEO ANDRÉS BELLO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,6,884,,,,1,acta
010102010,LICEO ANDRÉS BELLO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,7,884,,,,1,acta
010102010,LICEO ANDRÉS BELLO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,8,884,,,,1,acta
010102010,LICEO ANDRÉS BELLO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,9,884,,,,1,acta
010102010,LICEO ANDRÉS BELLO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,10,884,,,,1,acta
010102010,LICEO ANDRÉS BELLO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,11,884,,,,1,acta
010102010,LICEO ANDRÉS BELLO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,12,884,,,,1,acta
010102010,LICEO ANDRÉS BELLO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,13,884,,,,1,acta
010102011,ESCUELA BASICA NACIONAL JOSE ANGEL ALAMO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,1,870,,,,1,derivado
010102011,ESCUELA BASICA NACIONAL JOSE ANGEL ALAMO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,2,870,,,,1,derivado
010102011,ESCUELA BASICA NACIONAL JOSE ANGEL ALAMO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,3,870,,,,1,derivado
010102011,ESCUELA BASICA NACIONAL JOSE ANGEL ALAMO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,4,870,,,,1,derivado
010102011,ESCUELA BASICA NACIONAL JOSE ANGEL ALAMO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,5,870,,,,1,derivado
010102011,ESCUELA BASICA NACIONAL JOSE ANGEL ALAMO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,6,870,,,,1,derivado
010102011,ESCUELA BASICA NACIONAL JOSE ANGEL ALAMO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,7,870,,,,1,derivado
010102012,OFICINA DEL MINISTERIO DEL TRABAJO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,1,810,,,,1,acta
010102012,OFICINA DEL MINISTERIO DEL TRABAJO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,2,810,,,,1,acta
010102013,UNIDAD EDUCATIVA LICEO ALCAZAR,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,1,827,,,,1,derivado
010102013,UNIDAD EDUCATIVA LICEO ALCAZAR,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,2,827,,,,1,derivado
010102013,UNIDAD EDUCATIVA LICEO ALCAZAR,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,3,827,,,,1,derivado
010102013,UNIDAD EDUCATIVA LICEO ALCAZAR,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,4,826,,,,1,derivado
010102014,UNIDAD EDUCATIVA COLEGIO LUIS DE CAMOES,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,1,931,,,,1,acta
010102014,UNIDAD EDUCATIVA COLEGIO LUIS DE CAMOES,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,2,931,,,,1,acta
010102014,UNIDAD EDUCATIVA COLEGIO LUIS DE CAMOES,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,3,931,,,,1,acta
010102015,INSTITUTO UNITARIO DEL CENTRO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,1,897,,,,1,acta
010102015,INSTITUTO UNITARIO DEL CENTRO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,2,896,,,,1,acta
010102015,INSTITUTO UNITARIO DEL CENTRO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,3,896,,,,1,acta
010102015,INSTITUTO UNITARIO DEL CENTRO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,4,896,,,,1,acta
010102017,IPOSTEL,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,1,778,,,,1,derivado
010102017,IPOSTEL,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,2,777,,,,1,derivado
010102017,IPOSTEL,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,3,777,,,,1,derivado
010102017,IPOSTEL,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,4,777,,,,1,derivado
010102017,IPOSTEL,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,5,777,,,,1,derivado
010102018,COLEGIO DORA BURGUEÑO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,1,891,,,,1,acta
010102019,CENTRO DE EDUCACION INICIAL BOLIVARIANO SIMONCITO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,1,497,,,,1,derivado
010102019,CENTRO DE EDUCACION INICIAL BOLIVARIANO SIMONCITO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,2,497,,,,1,derivado
010102021,URBANISMO CENTAURO BICENTENARIO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,1,114,,,,1,acta
010102022,ESCUELA DE TAEKWONDO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,1,328,,,,1,derivado
010102023,EDIFICIO CONTINENTE,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,1,254,,,,1,derivado
010102024,EDIFICIO GIGANTE DE LA PATRIA,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,02,PQ. CANDELARIA,1,153,,,,1,acta
