codigo_centro,nombre_centro,direccion,cod_estado,estado,cod_municipio,municipio,cod_parroquia,parroquia,numero_mesa,electores,circuito_an,lat,lon,riesgo
010110032,ESCUELA BÁSICA NACIONAL BOLIVARIANA JOSÉ FLORENCIO JIMÉNEZ,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,10,PQ. SUCRE,4,768,,,,1
010110035,LICEO BOLIVARIANO JUAN LANDAETA,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,10,PQ. SUCRE,1,740,,,,1
010110041,UNIDAD EDUCATIVA COLEGIO LA SANTISIMA TRINIDAD,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,10,PQ. SUCRE,1,1105,,,,1
010110041,UNIDAD EDUCATIVA COLEGIO LA SANTISIMA TRINIDAD,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,10,PQ. SUCRE,3,1105,,,,1
010110056,UNIDAD EDUCATIVA COLEGIO PARROQUIAL LA SAGRADA FAMILIA,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,10,PQ. SUCRE,2,973,,,,1
010110284,CEIN PASTOR OROPEZA,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,10,PQ. SUCRE,1,364,,,,1
010116044,BASE DE MISIONES PARCELAMIENTO LA FE,,01,DTTO. CAPITAL,01,BLVNO LIBERTADOR,16,MACARAO,1,269,,,,1
030101030,NUCLEO EL ESFUERZO,,03,EDO. APURE,01,MP. ACHAGUAS,01,PQ. ACHAGUAS,1,389,,,,1
050702013,JARDIN DE INFANCIA KIKIRIKI,,05,EDO. BARINAS,07,MP. ROJAS,02,PQ. LIBERTAD,1,222,,,,1
050803001,UNIDAD EDUCATIVA NACIONAL BOLIVARIANA  RODRIGUEZ DOMINGUEZ,,05,EDO. BARINAS,08,MP. SOSA,03,PQ. PUERTO DE NUTRIAS,2,962,,,,1
060108008,ESCUELA ESTADAL UNITARIA 282 321,,06,EDO. BOLIVAR,01,MP. CARONI,08,PQ. UNARE,1,854,,,,1
070301012,UNIDAD EDUCATIVA NUESTRA SEÑORA DEL CAMINO,,07,EDO. CARABOBO,03,MP. DIEGO IBARRA,01,PQ. MARIARA,2,840,,,,1
070401012,GRUPO ESCOLAR DIEGO IBARRA,,07,EDO. CARABOBO,04,MP. GUACARA,01,PQ. GUACARA,2,994,,,,1
070905001,GRUPO ESCOLAR EDUARDO VISO,,07,EDO. CARABOBO,09,MP. VALENCIA,05,PQ. SAN BLAS,1,923,,,,1
070906012,COLEGIO SAN GABRIEL ARCANGEL,,07,EDO. CARABOBO,09,MP. VALENCIA,06,PQ. SAN JOSE,4,860,,,,1
091002002,UNIDAD EDUCATIVA CESAR AUGUSTO AGREDA,,09,EDO. FALCON,10,MP. MIRANDA,02,PQ. SAN GABRIEL,4,819,,,,1
100601006,ESCUELA BASICA JUAN ANTONIO PADILLA,,10,EDO. GUARICO,06,MP. JUAN GERMAN ROSC,01,PQ.SAN JUAN DE LOS MORROS,1,847,,,,1
110201022,UNIDAD EDUCATIVA PABLO ACOSTA ORTIZ,,11,EDO. LARA,02,MP. IRIBARREN,01,PQ. CATEDRAL,4,776,,,,1
110201025,ESCUELA DE ARTES PLASTICAS MARTIN TOVAR Y TOVAR,,11,EDO. LARA,02,MP. IRIBARREN,01,PQ. CATEDRAL,2,670,,,,1
110502031,UNIDAD EDUCATIVA COLEGIO JOSE GREGORIO BASTIDAS,,11,EDO. LARA,05,MP. PALAVECINO,02,PQ. JOSE G. BASTIDAS,2,574,,,,1
