centro_cne_id,centro_cne_orig_id,estado_cne_id,estado_corto,estado_largo,municipio_cne_id,municipio_corto,municipio_largo,parroquia_cne_id,parroquia_corto,parroquia_largo,centro,electores_venezolanos,electores_extranjeros,electores_total,,,,,,,,,,,,,,,,,
010102009,201.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,02,CANDELARIA,,PATRONATO SAN JOSÉ DE TARBES,3051.0,75.0,3126
010102010,210.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,02,CANDELARIA,,LICEO ANDRÉS BELLO,11493.0,763.0,12256
010102011,220.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,02,CANDELARIA,,ESCUELA BASICA NACIONAL JOSE ANGEL ALAMO,6090.0,267.0,6357
010102012,221.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,02,CANDELARIA,,OFICINA DEL MINISTERIO DEL TRABAJO,1620.0,72.0,1692
010102013,230.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,02,CANDELARIA,,UNIDAD EDUCATIVA LICEO ALCAZAR,3307.0,105.0,3412
010102014,231.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,02,CANDELARIA,,UNIDAD EDUCATIVA COLEGIO LUIS DE CAMOES,2793.0,113.0,2906
010102015,241.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,02,CANDELARIA,,INSTITUTO UNITARIO DEL CENTRO,3585.0,105.0,3690
010102017,161.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,02,CANDELARIA,,IPOSTEL,3886.0,278.0,4164
010102018,162.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,02,CANDELARIA,,COLEGIO DORA BURGUEÑO,891.0,17.0,908
010102019,163.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,02,CANDELARIA,,CENTRO DE EDUCACION INICIAL BOLIVARIANO SIMONCITO,994.0,30.0,1024
010102021,243.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,02,CANDELARIA,,URBANISMO CENTAURO BICENTENARIO,114.0,2.0,116
010102022,244.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,02,CANDELARIA,,ESCUELA DE TAEKWONDO,328.0,1.0,329
010102023,245.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,02,CANDELARIA,,EDIFICIO CONTINENTE,254.0,0.0,254
010102024,246.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,02,CANDELARIA,,EDIFICIO GIGANTE DE LA PATRIA,153.0,1.0,154
010102025,247.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,02,CANDELARIA,,OFICINA PRESIDENCIAL PARA PROYECTOS ESPECIALES 12,154.0,7.0,161
010102026,248.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,02,CANDELARIA,,CASA DE LA CULTURA Y BASE DE MISIONES JUANA LA AVANZADORA,262.0,4.0,266
010103001,260.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,03,CATEDRAL,,COMPLEJO EDUCATIVO FERMIN TORO,8805.0,231.0,9036
010103002,261.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,03,CATEDRAL,,CASA COLONIAL SANTA INÉS CANO AMARILLO,1260.0,26.0,1286
010103004,280.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,03,CATEDRAL,,UNIDAD EDUCATIVA DISTRITAL BOLIVAR,1540.0,24.0,1564
010103005,281.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,03,CATEDRAL,,UNIDAD EDUCATIVA SAN RAFAEL DE PAGUITA,2957.0,40.0,2997
010103006,290.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,03,CATEDRAL,,UNIDAD EDUCATIVA COLEGIO ÁVILA,2276.0,148.0,2424
010103008,291.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,03,CATEDRAL,,BASE DE MISIONES CACIQUE GUAICAIPURO,495.0,33.0,528
010103010,293.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,03,CATEDRAL,,BIBLIOTECA PUBLICA CENTRAL SIMON RODRIGUEZ,2089.0,87.0,2176
010103011,294.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,03,CATEDRAL,,GRAN MISIÓN VIVIENDA EDIFICIO SIMON,164.0,1.0,165
010103012,295.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,03,CATEDRAL,,URBANISMO EL CALVARIO,79.0,1.0,80
010103013,296.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,03,CATEDRAL,,BASE DE MISIONES CACIQUE CARAPAICA,245.0,0.0,245
010103014,297.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,03,CATEDRAL,,ESCUELA SUPERIOR DE MÚSICA JOSE ANGEL LAMAS,536.0,8.0,544
010104001,11.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,04,LA PASTORA,,ESCUELA BÁSICA PRIVADA COLEGIO SAN FRANCISCO JAVIER,1390.0,28.0,1418
010104002,30.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,04,LA PASTORA,,UNIDAD EDUCATIVA DISTRITAL JOSÉ GIL FORTUL,1752.0,32.0,1784
010104003,31.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,04,LA PASTORA,,AMBULATORIO NORTE,699.0,15.0,714
010104004,310.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,04,LA PASTORA,,UNIDAD EDUCATIVA DISTRITAL BOLIVARIANA JUAN BAUTISTA ALBERDI,4460.0,88.0,4548
010104005,312.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,04,LA PASTORA,,ESCUELA BÁSICA NACIONAL BOLIVARIANA LEÓN TRUJILLO,1001.0,12.0,1013
010104006,313.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,04,LA PASTORA,,JARDÍN DE INFANCIA DOCTORA  CARMEN VERÓNICA COELLO,949.0,17.0,966
010104010,340.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,04,LA PASTORA,,UNIDAD EDUCATIVA DISTRITAL  ALBERTINA ANDRESSEN,734.0,0.0,734
010104011,341.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,04,LA PASTORA,,UNIDAD EDUCATIVA DISTRITAL UNITARIA NUMERO  44,471.0,3.0,474
010104012,350.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,04,LA PASTORA,,UNIDAD EDUCATIVA PRIVADA COLEGIO AGUSTINIANO SAN JUDAS TADEO,3378.0,67.0,3445
010104013,360.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,04,LA PASTORA,,CENTRO DE SALUD INTEGRAL DOCTOR JOSÉ IZQUIERDO,1549.0,10.0,1559
010104014,370.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,04,LA PASTORA,,LICEO BOLIVARIANO LINO GALLARDO,3959.0,55.0,4014
010104018,390.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,04,LA PASTORA,,UNIDAD EDUCATIVA NACIONAL BOLIVARIANA CRUCITA DELGADO,3978.0,81.0,4059
010104022,400.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,04,LA PASTORA,,UNIDAD EDUCATIVA SAN FRANCISCO JAVIER,3105.0,33.0,3138
010104024,410.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,04,LA PASTORA,,UNIDAD EDUCATIVA DISTRITAL  ENRIQUE CHAUMER,3547.0,57.0,3604
010104025,411.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,04,LA PASTORA,,UNIDAD EDUCATIVA PRIVADA COLEGIO MODERNO,3972.0,73.0,4045
010104026,412.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,04,LA PASTORA,,UNIDAD EDUCATIVA DISTRITAL ANTONIO VAAMONDE,689.0,8.0,697
010104027,413.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,04,LA PASTORA,,UNIDAD EDUCATIVA PRIVADA INSTITUTO SAN JUDAS TADEO,678.0,7.0,685
010104028,414.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,04,LA PASTORA,,LICEO BOLIVARIANO PERÚ DE LA CROIX,3869.0,91.0,3960
010104029,420.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,04,LA PASTORA,,UNIDAD EDUCATIVA NACIONAL BOLIVARIANA REPUBLICA DE BOLIVIA,2587.0,40.0,2627
010104030,421.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,04,LA PASTORA,,UNIDAD EDUCATIVA PRIVADA COLEGIO AGUSTINIANO LA DIVINA PASTORA,2929.0,74.0,3003
010104031,430.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,04,LA PASTORA,,UNIVERSIDAD CATÓLICA SANTA ROSA,1199.0,16.0,1215
010104032,440.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,04,LA PASTORA,,UNIDAD EDUCATIVA NACIONAL BOLIVARIANA JOSÉ IGNACIO PAZ CASTILLO,1310.0,17.0,1327
010104033,460.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,04,LA PASTORA,,UNIDAD EDUCATIVA LICEO BOLIVARIANO AGUSTÍN AVELEDO,3998.0,97.0,4095
010104034,461.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,04,LA PASTORA,,UNIDAD EDUCATIVA PRIVADA MONSEÑOR CASTILLO,1065.0,22.0,1087
010104036,470.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,04,LA PASTORA,,UNIDAD EDUCATIVA NACIONAL BOLIVARIANA 5 DE JULIO,1741.0,33.0,1774
010104037,480.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,04,LA PASTORA,,UNIDAD EDUCATIVA DISTRITAL URDANETA,1168.0,15.0,1183
010104039,491.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,04,LA PASTORA,,UNIDAD EDUCATIVA  DISTRITAL RIBAS,2421.0,79.0,2500
010104040,492.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,04,LA PASTORA,,UNIDAD EDUCATIVA PARROQUIAL NUESTRA SEÑORA DE COROMOTO,724.0,8.0,732
010104043,14.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,04,LA PASTORA,,CENTRO MUNICIPAL DE ATENCIÓN INTEGRAL (CMAI) LA PASTORA,427.0,4.0,431
010104045,16.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,04,LA PASTORA,,CENTRO PRE-ESCOLAR ARTURO MICHELENA I,651.0,5.0,656
010104046,17.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,04,LA PASTORA,,UNIDAD EDUCATIVA DISTRITAL JOSÉ LUÍS RAMOS,3162.0,43.0,3205
010104047,493.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,04,LA PASTORA,,UNIDAD EDUCATIVA NACIONAL CANAIMA,693.0,29.0,722
010104048,494.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,04,LA PASTORA,,ESCUELA NACIONAL BÁSICA EL POLVORÍN,362.0,2.0,364
010104049,495.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,04,LA PASTORA,,ASOCIACIÓN CIVIL COMUNITARIA LA DIVINA PASTORA,226.0,2.0,228
010104051,497.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,04,LA PASTORA,,ANTIGUO IPOSTEL,432.0,3.0,435
010104052,498.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,04,LA PASTORA,,MÓDULO BARRIO ADENTRO UNIÓN Y FUERZA,862.0,9.0,871
010104053,499.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,04,LA PASTORA,,UNIDAD PREESCOLAR JOSÉ PRUDENCIO PADILLA,1165.0,22.0,1187
010104054,512.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,04,LA PASTORA,,CASA COMUNAL LOMA 1,198.0,1.0,199
010104055,513.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,04,LA PASTORA,,MODULO DE SALUD TRIUNFO DE NAZARETH,142.0,4.0,146
010104056,514.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,04,LA PASTORA,,UNIDAD EDUCATIVA CESAR REGIJO,351.0,1.0,352
010104057,515.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,04,LA PASTORA,,CASA DE SALUD COMUNAL,275.0,5.0,280
010104058,516.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,04,LA PASTORA,,MODULO NUESTRA SEÑORA DEL ROSARIO,274.0,1.0,275
010104059,517.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,04,LA PASTORA,,CASA ROBERT SERRA,319.0,1.0,320
010104060,518.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,04,LA PASTORA,,CENTRO MEDICO SAN RUPERTO MARIA NUÑEZ,348.0,2.0,350
010104061,519.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,04,LA PASTORA,,COMPLEJO DEPORTIVO CULTURAL JARDIN DE LA ALEGRIA,296.0,4.0,300
010104062,521.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,04,LA PASTORA,,CASA COMUNAL DE CAMPO ELIAS,204.0,4.0,208
010104063,522.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,04,LA PASTORA,,C.P. MECEDORES BAJOS,244.0,1.0,245
010105002,510.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,05,SAN AGUSTIN,,COLEGIO CORAZON DE MARIA,3368.0,87.0,3455
010105005,552.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,05,SAN AGUSTIN,,ESCUELA DE ARTES PLASTICAS CRISTOBAL ROJAS,2511.0,78.0,2589
010105008,555.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,05,SAN AGUSTIN,,UNIDAD EDUCATIVA NACIONAL BOLIVARIANA BICENTENERIA REPUBLICANO,7873.0,212.0,8085
010105010,560.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,05,SAN AGUSTIN,,UNIDAD EDUCATIVA NACIONAL DOCTOR ELIAS RODRIGUEZ,2886.0,45.0,2931
010105012,562.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,05,SAN AGUSTIN,,PREESCOLAR CONCEPCION MARINO,1981.0,8.0,1989
010105013,570.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,05,SAN AGUSTIN,,CENTRO DE MISIONES MANUEL FOMBONA PACHANO,2087.0,35.0,2122
010105014,571.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,05,SAN AGUSTIN,,ESTACION METROCABLE PARQUE CENTRAL,1115.0,23.0,1138
010105015,580.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,05,SAN AGUSTIN,,UNIDAD EDUCATIVA DISTRITAL JUAN LANDAETA,2981.0,9.0,2990
010105016,581.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,05,SAN AGUSTIN,,ESCUELA BASICA NACIONAL MERIDA SISO DE VAZQUEZ,2915.0,16.0,2931
010105017,502.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,05,SAN AGUSTIN,,MUSEO DE LA ESTAMPA Y EL DISEÑO CARLOS CRUZ DIEZ,1878.0,37.0,1915
010105021,584.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,05,SAN AGUSTIN,,BIBLIOTECA PUBLICA LEONARDO RUIZ PINEDA,1909.0,29.0,1938
010105022,585.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,05,SAN AGUSTIN,,ESTACIÓN DE METRO CABLE EL MANGUITO,1416.0,2.0,1418
010105023,586.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,05,SAN AGUSTIN,,CENTRO DE EDUCACION INICIAL NACIONAL BOLIVARIANA MARIA ANTONIA BOLIVAR,1224.0,13.0,1237
010105025,588.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,05,SAN AGUSTIN,,ESTACION METROCABLE LA CEIBA,1426.0,2.0,1428
010105026,589.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,05,SAN AGUSTIN,,CENTRO DE EDUCACION INICIAL NACIONAL MATEA BOLIVAR,2457.0,85.0,2542
010105029,594.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,05,SAN AGUSTIN,,ESTACION METROCABLE HORNOS DE CAL,276.0,5.0,281
010105030,595.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,05,SAN AGUSTIN,,BASE DE MISIONES HUGO CHAVEZ LA CEIBA,354.0,0.0,354
010105033,598.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,05,SAN AGUSTIN,,SALA DE USOS MULTIPLES URBANISMO EL CONDE,292.0,0.0,292
010105034,599.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,05,SAN AGUSTIN,,METRO CABLE PARQUE CENTRAL,357.0,4.0,361
010105035,601.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,05,SAN AGUSTIN,,CASA COMUNAL HORNOS DE CAL,443.0,0.0,443
010105036,602.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,05,SAN AGUSTIN,,MODULO DE SALUD TIPO 1 BARRIO LA CEIBA,246.0,1.0,247
010106002,590.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,06,SAN JOSE,,UNIDAD EDUCATIVA NACIONAL BOLIVARIANA JESÚS MARIA PÁEZ,4015.0,39.0,4054
010106003,600.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,06,SAN JOSE,,ESCUELA NACIONAL PRIMARIA BERNARDO O HIGGINS,3767.0,58.0,3825
010106004,650.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,06,SAN JOSE,,UNIDAD EDUCATIVA NACIONAL BOLIVARIANA ARMANDO ZULOAGA BLANCO,4791.0,137.0,4928
010106005,651.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,06,SAN JOSE,,UNIDAD EDUCATIVA ECOLÓGICA SANTÍSIMA TRINIDAD,2334.0,30.0,2364
010106008,660.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,06,SAN JOSE,,UNIDAD EDUCATIVA JOSÉ ANTONIO ANZOATEGUI,1684.0,21.0,1705
010106010,670.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,06,SAN JOSE,,ESCUELA TÉCNICA COMERCIAL ROBINSONIANA SANTOS MICHELENA,4720.0,120.0,4840
010106011,680.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,06,SAN JOSE,,UNIDAD EDUCATIVA BOLIVARIANA RAFAEL URDANETA,6114.0,190.0,6304
010106012,710.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,06,SAN JOSE,,HOSPITAL DOCTOR FRANCISCO ANTONIO RISQUEZ,2708.0,61.0,2769
010106017,22.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,06,SAN JOSE,,UNIDAD EDUCACIONAL NIÑO DIOS DE SAN JOSÉ,994.0,27.0,1021
010106019,24.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,06,SAN JOSE,,UNIDAD EDUCACIONAL PRIVADA INSTITUTO JUNKAL,1144.0,23.0,1167
010106025,719.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,06,SAN JOSE,,SIMONSITO BRISAS DEL PANTEON,533.0,7.0,540
010106026,754.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,06,SAN JOSE,,MODULO OCTAGONAL DE SALUD LOS CUJICITOS,364.0,1.0,365
010106027,755.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,06,SAN JOSE,,CASA COMUNAL LA TITA,801.0,2.0,803
010106028,756.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,06,SAN JOSE,,CASA COMUNAL SEMILLAS DEL AVILA,266.0,0.0,266
010107001,720.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,07,SAN JUAN,,UNIDAD EDUCATIVA NACIONAL BOLIVARIANA TEOTISTE DE GALLEGOS,2170.0,11.0,2181
010107002,730.0,01,CAPITAL,DTTO. CAPITAL,01,BLVNO LIBERTADOR,,07,SAN JUAN,,UNIDAD EDUCATIVA NACIONAL ZOE XIQUES SILVA,3890.0,67.0,3957
