codigo_centro,codigo_cne_nuevo,codigo_viejo,codigo_cne_viejo,nombre_centro,num_electores,num_mesas,votos_validos,votos_gobierno,votos_oposicion,votos_otros,votos_nulos,total_votos,pct_gobierno,pct_oposicion,participacion,fuente_url
010108036,010108036,1210,1210,E B NAC BOGOTA,2293,4,1587,1052,535,0,42,1629,66.29,33.71,71.04,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010108037,010108037,1212,1212,COLEGIO GUAICAIPURO,2236,4,1550,981,569,0,45,1595,63.29,36.71,71.33,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010108038,010108038,1262,1262,U EDUC COLEGIO SANTA ANA,2434,5,1882,981,901,0,45,1927,52.13,47.87,79.17,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010108039,010108039,1290,1290,ESC BASICA PAULO VI,2430,5,1675,951,724,0,67,1742,56.78,43.22,71.69,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010108040,010108040,1320,1320,COL NTRA SRA DEL PILAR,2464,5,1615,524,1091,0,36,1651,32.45,67.55,67.0,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010108041,010108041,1341,1341,UNID EDUC PRIV COL STA CECILIA,796,2,634,259,375,0,13,647,40.85,59.15,81.28,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010108043,010108043,504,504,JUNTA PARROQUIAL SANTA ROSALIA,234,1,168,130,38,0,3,171,77.38,22.62,73.08,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010108044,010108044,505,505,OFICINAS DEL CEMENTERIO GENERAL DEL SUR,252,1,171,147,24,0,4,175,85.96,14.04,69.44,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010108045,010108045,506,506,JARDIN DE INFANCIA LEONARDO RUIZ PINEDA,212,1,180,107,73,0,4,184,59.44,40.56,86.79,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010108047,010108047,508,508,PRE-ESCOLAR ASISTENCIAL DON BERNABE PLANAS,368,1,310,211,99,0,8,318,68.06,31.94,86.41,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010108048,010108048,509,509,PRE-ESCOLAR DIVINO NI—O,1014,2,604,410,194,0,19,623,67.88,32.12,61.44,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010108049,010108049,511,511,UNIDAD DE ATENCION DON ANTONIO RAIMA (INAGER),328,1,266,144,122,0,8,274,54.14,45.86,83.54,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010108050,010108050,2963,2963,ESCUELA SANTA TERESITA DEL NI—O JESUS,142,1,115,64,51,0,2,117,55.65,44.35,82.39,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010108051,010108051,2964,2964,PREESCOLAR LIA IMBER DE CONIL,833,2,573,375,198,0,20,593,65.45,34.55,71.19,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010109001,010109001,1310,1310,COLEGIO MONSEOR CASTRO,2056,4,1382,472,910,0,39,1421,34.15,65.85,69.11,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010109002,010109002,1322,1322,INST NVA ESPARTA,2077,4,1475,554,921,0,43,1518,37.56,62.44,73.09,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010109003,010109003,1323,1323,LICEO TERESA CARRENO,2721,5,1674,700,974,0,42,1716,41.82,58.18,63.07,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010109004,010109004,1330,1330,G ESCOLAR FRANCISCO PIMENTEL,6351,12,4371,1572,2799,0,83,4454,35.96,64.04,70.13,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010109005,010109005,1331,1331,CREACION PALMITA,1502,3,1085,409,676,0,41,1126,37.7,62.3,74.97,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010109006,010109006,1340,1340,COLEGIO NUESTRA SE/ORA DE LOURDES,2536,5,1808,561,1247,0,47,1855,31.03,68.97,73.15,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010109007,010109007,1311,1311,INSTITUTO ALCAZAR,188,1,137,81,56,0,7,144,59.12,40.88,76.6,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010109008,010109008,1312,1312,COLEGIO PARROQUIAL SANTA TERESA,310,1,234,119,115,0,6,240,50.85,49.15,77.42,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010109009,010109009,1313,1313,UNIDAD EDUCACIONAL PRIVADA CEFERINO ALEGRIA,311,1,247,145,102,0,10,257,58.7,41.3,82.64,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010109010,010109010,1314,1314,COLEGIO LUZ Y VIDA,235,1,183,91,92,0,7,190,49.73,50.27,80.85,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010109011,010109011,1315,1315,UNIDAD EDUCATIVA NACIONAL ANTONIO ARRAIZ,265,1,206,103,103,0,9,215,50.0,50.0,81.13,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010109012,010109012,1316,1316,CENTRO MUNICIPAL DE ATENCION INTEGRAL (CMAI),168,1,136,89,47,0,3,139,65.44,34.56,82.74,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010110001,010110001,1360,1360,CICLO BASE FIDEL JESUS OROZCO,3509,6,2289,1714,575,0,51,2340,74.88,25.12,66.69,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010110002,010110002,1362,1362,ESC. MUN. LORENZO HERRERA. M.,1437,3,985,768,217,0,33,1018,77.97,22.03,70.84,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010110003,010110003,1370,1370,U E D ELISA DE IZQUIERDO,1917,4,1319,1007,312,0,52,1371,76.35,23.65,71.52,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010110004,010110004,1380,1380,ESC MANUEL MARIA ECHANDIA,4130,8,2714,2045,669,0,74,2788,75.35,24.65,67.51,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010110005,010110005,1390,1390,GRUPO ESCOLAR FEDERICO QUIROZ,2007,4,1219,854,365,0,51,1270,70.06,29.94,63.28,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010110006,010110006,1400,1400,U E TULIO FEBRES CORDERO,2381,5,1653,1084,569,0,29,1682,65.58,34.42,70.64,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010110007,010110007,1401,1401,LICEO LUIS ESPELOZIN,3348,6,2375,1268,1107,0,86,2461,53.39,46.61,73.51,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010110008,010110008,1402,1402,ESC BASC 12 DE MARZO,1269,3,908,581,327,0,29,937,63.99,36.01,73.84,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010110009,010110009,1410,1410,COLEGIO PARROQUIAL SAN RAMON NONATO,3938,7,2569,1519,1050,0,82,2651,59.13,40.87,67.32,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010110011,010110011,1420,1420,GRUPO ESCOLAR AGUSTIN AVELEDO,3360,6,2280,1292,988,0,62,2342,56.67,43.33,69.7,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010110012,010110012,1421,1421,UNIDAD EDUCATIVA COLEGIO NIO JESUS DE PRAGA,1289,3,842,480,362,0,27,869,57.01,42.99,67.42,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010110013,010110013,1430,1430,GRUPO ESCOLAR CIUDAD DE BARCELONA,3023,6,2139,1061,1078,0,51,2190,49.6,50.4,72.44,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010110014,010110014,1431,1431,GUARDERIA INFANTIL CARLOS GUINAND SANDOZ,897,2,686,372,314,0,20,706,54.23,45.77,78.71,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010110015,010110015,1432,1432,COLEGIO GLADYS DE FREITES,1361,3,1038,548,490,0,29,1067,52.79,47.21,78.4,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010110016,010110016,1433,1433,U E NICANOR BOLET PERAZA,3170,6,2407,1300,1107,0,54,2461,54.01,45.99,77.63,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010110017,010110017,1434,1434,GUARD INF FUNDAPOL,733,2,334,178,156,0,7,341,53.29,46.71,46.52,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010110018,010110018,1436,1436,INSTITUTO ESCUELA TACHIRA,880,2,608,392,216,0,7,615,64.47,35.53,69.89,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010110019,010110019,1437,1437,TALLERES DEL MUSEO JACOBO BORGES,1509,3,1039,566,473,0,28,1067,54.48,45.52,70.71,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010110020,010110020,1438,1438,MUSEO JACOBO BORGES,1706,3,1204,722,482,0,31,1235,59.97,40.03,72.39,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010110021,010110021,1439,1439,LICEO MIGUEL ANTONIO CARO,3780,7,2531,1545,986,0,69,2600,61.04,38.96,68.78,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010110022,010110022,1440,1440,U E MIGUEL ANTONIO CARO,3305,6,2252,1313,939,0,76,2328,58.3,41.7,70.44,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010110023,010110023,1441,1441,COLEGIO DAVID PASCOE,1834,4,1261,637,624,0,45,1306,50.52,49.48,71.21,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010110024,010110024,1450,1450,CICLO BASICO JOSE FELIX BLANCO,1489,3,1018,464,554,0,34,1052,45.58,54.42,70.65,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
