codigo_centro,codigo_cne_nuevo,codigo_viejo,codigo_cne_viejo,nombre_centro,num_electores,num_mesas,votos_validos,votos_gobierno,votos_oposicion,votos_otros,votos_nulos,total_votos,pct_gobierno,pct_oposicion,participacion,fuente_url
211401015,211401015,58284,58284,UNIDAD EDUCATIVA YOLY TERESA MURCI,285,1,263,103,160,0,1,264,39.16,60.84,92.63,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
211402002,211402002,58360,58360,ESCUELA  SOCIAL DE AVANZADA  BELLO MONTE,5142,9,3786,2094,1692,0,44,3830,55.31,44.69,74.48,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
211402003,211402003,58365,58365,JARDIN DE INF NAC JOSE FELIX RIBAS,1337,3,1011,544,467,0,14,1025,53.81,46.19,76.66,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
211402004,211402004,58400,58400,UNI EDC EST JONH F KENNEDY,2458,5,1908,897,1011,0,9,1917,47.01,52.99,77.99,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
211402005,211402005,58405,58405,ESCUELA BOLIVARIANA FRANCISCO DE MIRANDA,955,2,846,459,387,0,13,859,54.26,45.74,89.95,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
211402006,211402006,58410,58410,ESC BAS NAC DON SIMON RODRIGUEZ,2163,4,1591,917,674,0,10,1601,57.64,42.36,74.02,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
211402007,211402007,58415,58415,INCE LOS LAURELES,1321,3,1001,525,476,0,5,1006,52.45,47.55,76.15,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
211402008,211402008,58661,58661,ESC BAS NAC LOS LAURELES,4370,8,3436,1898,1538,0,40,3476,55.24,44.76,79.54,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
211402009,211402009,58662,58662,UNI EDC NAC MANUEL BELLOSO,2788,5,2222,1160,1062,0,25,2247,52.21,47.79,80.6,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
211402010,211402010,58665,58665,UNIV NAC EXP RAFAEL MARIA BARALT,3522,7,2723,1492,1231,0,30,2753,54.79,45.21,78.17,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
