codigo_centro,nombre_centro,direccion,cod_estado,estado,cod_municipio,municipio,cod_parroquia,parroquia,numero_mesa,electores,circuito_an,lat,lon,riesgo
220701001,ESCUELA LA ESMERALDA,CASERÍO LA ESMERALDA DERECHA CALLE DOS. IZQUIERDA CALLE PRIMERA. FRENTE CAMINO PRINCIPAL CASERIO LA ESMERALDA CASA,22,EDO. AMAZONAS,07,MP. ALTO ORINOCO,01,CM. LA ESMERALDA,1,406,,,,1
220701001,ESCUELA LA ESMERALDA,CASERÍO LA ESMERALDA DERECHA CALLE DOS. IZQUIERDA CALLE PRIMERA. FRENTE CAMINO PRINCIPAL CASERIO LA ESMERALDA CASA,22,EDO. AMAZONAS,07,MP. ALTO ORINOCO,01,CM. LA ESMERALDA,2,400,,,,1
220701002,UNIDAD EDUCATIVA CARDENAL JOSE HUMBERTO QUINTERO,SECTOR TAMATAMA DERECHA CAMINO PRINCIPAL. IZQUIERDA CAMINO PRINCIPAL. FRENTE CAMINO PRINCIPAL COMUNIDAD TAMATAMA CASA,22,EDO. AMAZONAS,07,MP. ALTO ORINOCO,01,CM. LA ESMERALDA,1,280,,,,1
220701003,CENTRO MOVIL LA PUNTA,"CASERÍO LA ESMERALDA DERECHA CALLE CAMINO. FRENTE CALLE PRINCIPAL. IZQUIERDA CAMINO CALLE CASERIO LA ESMERALDA, SECTOR YEKUANA, COLEGIO BOLIVARIANO. CASA",22,EDO. AMAZONAS,07,MP. ALTO ORINOCO,01,CM. LA ESMERALDA,1,157,,,,1
220702002,ESCUELA BOLIVARIANA WASUDY,CASERÍO CULEBRA DERECHA CAMINO PRINCIPAL. IZQUIERDA CAMINO PRINCIPAL. FRENTE CAMINO PRINCIPAL COMUNIDAD CULEBRA CASA,22,EDO. AMAZONAS,07,MP. ALTO ORINOCO,02,PQ. HUACHAMACARE,1,270,,,,1
220702001,ESCUELA JUNIN,CASERÍO COMUNIDAD AKANAÑA FRENTE CALLE PRINCIPAL. DERECHA CAMINO PRINCIPAL. IZQUIERDA CAMINO PRINCIPAL CASERIO AKAAMA A CASA,22,EDO. AMAZONAS,07,MP. ALTO ORINOCO,02,PQ. HUACHAMACARE,1,253,,,,1
220702003,ESCUELA BASICA LOS PROCERES,COMUNIDAD MAWISHIÑA CASA,22,EDO. AMAZONAS,07,MP. ALTO ORINOCO,02,PQ. HUACHAMACARE,1,78,,,,1
220703001,ESCUELA BASICA GERVACIO RUBIO,CASERÍO TOKI DERECHA CAMINO PRINCIPAL. IZQUIERDA CAMINO PRINCIPAL. FRENTE CAMINO PRINCIPAL COMUNIDAD TOKI SHANANAA CASA,22,EDO. AMAZONAS,07,MP. ALTO ORINOCO,03,PQ. MARAWAKA,1,440,,,,1
220703001,ESCUELA BASICA GERVACIO RUBIO,CASERÍO TOKI DERECHA CAMINO PRINCIPAL. IZQUIERDA CAMINO PRINCIPAL. FRENTE CAMINO PRINCIPAL COMUNIDAD TOKI SHANANAA CASA,22,EDO. AMAZONAS,07,MP. ALTO ORINOCO,03,PQ. MARAWAKA,2,439,,,,1
220703002,CENTRO MOVIL COSCHOCOLOWATERI,CASERÍO COMUNIDAD MISIÓN PADAMO FRENTE CALLE PRINCIPAL. DERECHA CAMINO PRINCIPAL. IZQUIERDA CAMINO PRINCIPAL COMUNIDAD MISION PADAMO CASA,22,EDO. AMAZONAS,07,MP. ALTO ORINOCO,03,PQ. MARAWAKA,1,319,,,,1
220704001,ESCUELA INTERCULTURAL BILINGUE YANOMAMI II,CASERÍO MAVACA DERECHA CAMINO PRINCIPAL. IZQUIERDA CAMINO PRINCIPAL. FRENTE CAMINO PRINCIPAL CASERIO MAVACA CASA,22,EDO. AMAZONAS,07,MP. ALTO ORINOCO,04,PQ. MAVACA,1,698,,,,1
220704002,UNIDAD EDUCATIVA YANOMAMI I,CASERÍO MAVACA DERECHA CAMINO CAMINO. IZQUIERDA CAMINO CAMINO. FRENTE CAMINO CAMINO COMUNIDAD OCAMO CASA,22,EDO. AMAZONAS,07,MP. ALTO ORINOCO,04,PQ. MAVACA,1,478,,,,1
220704003,CENTRO MOVIL SIPOI,CASERÍO SIPOI DERECHA CAMINO PRINCIPAL. IZQUIERDA CAMINO PRINCIPAL. FRENTE CAMINO PRINCIPAL COMUNIDAD SIPOI CASA,22,EDO. AMAZONAS,07,MP. ALTO ORINOCO,04,PQ. MAVACA,1,379,,,,1
220704004,CENTRO MOVIL PLATANAL,CASERÍO PLATANAL DERECHA CAMINO CAMINO. IZQUIERDA CAMINO CAMINO. FRENTE CAMINO CAMINO COMUNIDAD PLATANAL CASA,22,EDO. AMAZONAS,07,MP. ALTO ORINOCO,04,PQ. MAVACA,1,130,,,,1
220705001,ESCUELA BASICA CACIQUE TAMANACO,CASERÍO PARIMA B DERECHA SENDERO PRINCIPAL. IZQUIERDA SENDERO PRINCIPAL. FRENTE CAMINO DE LA COMUNIDAD CASERIO PARIMA B CASA,22,EDO. AMAZONAS,07,MP. ALTO ORINOCO,05,PQ. SIERRA PARIMA,1,688,,,,1
220705002,CENTRO MOVIL KOYOWAITERI,COMUNIDAD KOYOWAITERI,22,EDO. AMAZONAS,07,MP. ALTO ORINOCO,05,PQ. SIERRA PARIMA,1,110,,,,1
220201002,UNIDAD EDUCATIVA JUNIN,SECTOR CENTRO 1 DERECHA CALLE PRINCIPAL BOLIVAR. IZQUIERDA CALLE PRINCIPAL RIBAS. FRENTE CALLE PRINCIPAL SUCRE SAN FERNANDO DE ATABAPO CALLE AEROPUERTO SIN NUMERO CASA,22,EDO. AMAZONAS,02,MP. ATABAPO,01,CM. SAN FERNANDO DE ATABA,1,656,,,,1
220201002,UNIDAD EDUCATIVA JUNIN,SECTOR CENTRO 1 DERECHA CALLE PRINCIPAL BOLIVAR. IZQUIERDA CALLE PRINCIPAL RIBAS. FRENTE CALLE PRINCIPAL SUCRE SAN FERNANDO DE ATABAPO CALLE AEROPUERTO SIN NUMERO CASA,22,EDO. AMAZONAS,02,MP. ATABAPO,01,CM. SAN FERNANDO DE ATABA,2,652,,,,1
220201003,UNIDAD EDUCATIVA JOSE GUMILLAS,SECTOR CENTRO 1 DERECHA CALLE SUCRE. IZQUIERDA CALLE VENEZUELA. FRENTE CALLE PRINCIPAL PIAR CALLE PIAR SIN NUMERO SAN FERNANDO DE ATABAPO EDIFICIO,22,EDO. AMAZONAS,02,MP. ATABAPO,01,CM. SAN FERNANDO DE ATABA,2,625,,,,1
220201003,UNIDAD EDUCATIVA JOSE GUMILLAS,SECTOR CENTRO 1 DERECHA CALLE SUCRE. IZQUIERDA CALLE VENEZUELA. FRENTE CALLE PRINCIPAL PIAR CALLE PIAR SIN NUMERO SAN FERNANDO DE ATABAPO EDIFICIO,22,EDO. AMAZONAS,02,MP. ATABAPO,01,CM. SAN FERNANDO DE ATABA,3,624,,,,1
220201003,UNIDAD EDUCATIVA JOSE GUMILLAS,SECTOR CENTRO 1 DERECHA CALLE SUCRE. IZQUIERDA CALLE VENEZUELA. FRENTE CALLE PRINCIPAL PIAR CALLE PIAR SIN NUMERO SAN FERNANDO DE ATABAPO EDIFICIO,22,EDO. AMAZONAS,02,MP. ATABAPO,01,CM. SAN FERNANDO DE ATABA,1,606,,,,1
220201003,UNIDAD EDUCATIVA JOSE GUMILLAS,SECTOR CENTRO 1 DERECHA CALLE SUCRE. IZQUIERDA CALLE VENEZUELA. FRENTE CALLE PRINCIPAL PIAR CALLE PIAR SIN NUMERO SAN FERNANDO DE ATABAPO EDIFICIO,22,EDO. AMAZONAS,02,MP. ATABAPO,01,CM. SAN FERNANDO DE ATABA,4,590,,,,1
220201004,CENTRO MOVIL EL PUENTE,CASERÍO EL PUENTE IZQUIERDA CALLE EL PUENTE. FRENTE CALLE EL MANGO. DERECHA CARRETERA VIA EL POZO COMUNIDAD EL PUENTE PARROQUIA SAN FERNANDO DE ATABAPO ESTADO AMAZONAS CASA,22,EDO. AMAZONAS,02,MP. ATABAPO,01,CM. SAN FERNANDO DE ATABA,1,351,,,,1
220201005,ESCUELA INTEGRAL BOLIVARIANA SAN FRANCISCO DE ATABAPO II,SECTOR CENTRO 1 DERECHA CALLE RIVAS. IZQUIERDA CALLE BOLIVAR. FRENTE CALLE VENZUELA CALLE VENEZUELA S/N SAN FERNANDO DE ATABAPO EDIFICIO,22,EDO. AMAZONAS,02,MP. ATABAPO,01,CM. SAN FERNANDO DE ATABA,1,294,,,,1
220201006,E.I.B. SAN FRANCISCO II,SECTOR: CALLE PRINCIPAL  VENEZUELA. FRENTE CALLE CALLE PRINCIPAL VENEZUELA. IZQUIERDA CALLE CALLE PRINCIPAL BOLIVAR. DERECHA CALLE CALLE PRINCIPAL RIBAS. REFERENCIA CALLE PRINCIPAL VENEZUELA,22,EDO. AMAZONAS,02,MP. ATABAPO,01,CM. SAN FERNANDO DE ATABA,1,275,,,,1
