record_type,from_year,to_year,n_centros,pearson,spearman,ols_slope,ols_intercept,r2,mae_delta_residual,prev_threshold_pp,next_threshold_pp,pct_permanece,target,feature,quantile,feature_min,feature_max,abs_residual_target_mae,abs_residual_target_median
feature_quantile,,,3418,,,,,,,,,,2013.0,abs_historical_bias,Q3,12.770467,21.012971,17.481112,17.221441
feature_quantile,,,3419,,,,,,,,,,2013.0,abs_historical_bias,Q4,21.013364,124.169835,30.468872,29.876143
feature_quantile,,,3419,,,,,,,,,,2013.0,recent_distance,Q1,0.005345,6.600179,3.851629,3.360659
feature_quantile,,,3418,,,,,,,,,,2013.0,recent_distance,Q2,6.600854,13.651244,9.980498,9.768259
feature_quantile,,,3418,,,,,,,,,,2013.0,recent_distance,Q3,13.652996,22.56368,17.883027,17.648997
feature_quantile,,,3419,,,,,,,,,,2013.0,recent_distance,Q4,22.563997,124.169835,31.136444,30.269066
feature_quantile,,,3305,,,,,,,,,,2018.0,historical_volatility,Q1,0.000588,1.143378,7.333813,5.602725
feature_quantile,,,3304,,,,,,,,,,2018.0,historical_volatility,Q2,1.143434,2.205505,8.130505,6.051609
feature_quantile,,,3304,,,,,,,,,,2018.0,historical_volatility,Q3,2.205612,3.899881,9.078256,6.835034
feature_quantile,,,3304,,,,,,,,,,2018.0,historical_volatility,Q4,3.899936,52.426651,11.679533,9.40686
feature_quantile,,,3307,,,,,,,,,,2018.0,historical_mae,Q1,0.106634,6.727143,6.550695,4.824769
feature_quantile,,,3306,,,,,,,,,,2018.0,historical_mae,Q2,6.727977,13.035852,7.517154,5.588728
feature_quantile,,,3306,,,,,,,,,,2018.0,historical_mae,Q3,13.039503,21.500676,8.55675,6.643957
feature_quantile,,,3306,,,,,,,,,,2018.0,historical_mae,Q4,21.501702,77.133369,13.595383,12.054948
feature_quantile,,,3307,,,,,,,,,,2018.0,abs_historical_bias,Q1,2.9e-05,6.099487,6.924655,5.02746
feature_quantile,,,3306,,,,,,,,,,2018.0,abs_historical_bias,Q2,6.101194,12.913748,7.271851,5.404982
feature_quantile,,,3306,,,,,,,,,,2018.0,abs_historical_bias,Q3,12.915173,21.460501,8.44474,6.540787
feature_quantile,,,3306,,,,,,,,,,2018.0,abs_historical_bias,Q4,21.462081,77.133369,13.578624,12.034313
feature_quantile,,,3307,,,,,,,,,,2018.0,recent_distance,Q1,0.005955,6.456194,6.576261,4.647064
feature_quantile,,,3306,,,,,,,,,,2018.0,recent_distance,Q2,6.456791,13.498258,7.079823,5.373869
feature_quantile,,,3306,,,,,,,,,,2018.0,recent_distance,Q3,13.498954,22.819282,8.400994,6.720875
feature_quantile,,,3306,,,,,,,,,,2018.0,recent_distance,Q4,22.820689,55.435653,14.162896,12.85343
feature_quantile,,,2521,,,,,,,,,,2024.0,historical_volatility,Q1,0.072252,3.327416,8.32274,6.223416
feature_quantile,,,2520,,,,,,,,,,2024.0,historical_volatility,Q2,3.329087,5.401493,10.005311,7.515866
feature_quantile,,,2520,,,,,,,,,,2024.0,historical_volatility,Q3,5.402751,8.096501,11.398815,8.996482
feature_quantile,,,2520,,,,,,,,,,2024.0,historical_volatility,Q4,8.097527,50.5977,13.012515,10.677809
feature_quantile,,,2703,,,,,,,,,,2024.0,historical_mae,Q1,0.143907,6.266689,5.937736,4.965962
feature_quantile,,,2703,,,,,,,,,,2024.0,historical_mae,Q2,6.26989,10.986528,7.436586,5.991078
feature_quantile,,,2703,,,,,,,,,,2024.0,historical_mae,Q3,10.986805,17.349602,11.253859,9.731893
feature_quantile,,,2703,,,,,,,,,,2024.0,historical_mae,Q4,17.351035,53.839867,19.555196,17.323681
feature_quantile,,,2703,,,,,,,,,,2024.0,abs_historical_bias,Q1,0.000148,4.587675,6.066888,4.965962
feature_quantile,,,2703,,,,,,,,,,2024.0,abs_historical_bias,Q2,4.587677,9.906085,7.260089,5.816998
feature_quantile,,,2703,,,,,,,,,,2024.0,abs_historical_bias,Q3,9.907233,16.864671,11.066061,9.559165
feature_quantile,,,2703,,,,,,,,,,2024.0,abs_historical_bias,Q4,16.865083,53.839867,19.790339,17.491883
feature_quantile,,,2703,,,,,,,,,,2024.0,recent_distance,Q1,1e-05,3.127335,6.706192,5.193347
feature_quantile,,,2703,,,,,,,,,,2024.0,recent_distance,Q2,3.127355,6.864883,8.06568,6.568519
feature_quantile,,,2703,,,,,,,,,,2024.0,recent_distance,Q3,6.865533,12.759916,11.149696,9.70339
feature_quantile,,,2703,,,,,,,,,,2024.0,recent_distance,Q4,12.760217,56.934581,18.261808,16.442095
