record_type,from_year,to_year,n_estados,median_pearson_state,p25_pearson_state,p75_pearson_state,median_r2_state,p25_r2_state,p75_r2_state,n_states_pearson_positive,n_states_pearson_gt_0_5,n_states_r2_gt_0_25,n_states_r2_gt_0_50,cod_estado,estado,n_centros,pearson,spearman,ols_slope,ols_intercept,r2,sd_residual_prev,sd_residual_next,mae_delta_residual
state_transition,2012,2013,,,,,,,,,,,,24,La Guaira,198.0,0.990785,0.990715,1.021793,0.060503,0.981655,16.205045,16.712203,1.651947
state_transition,2013,2018,,,,,,,,,,,,01,Distrito Capital,859.0,0.807225,0.793141,0.32159,-1.718349,0.651613,18.672506,7.438932,12.167596
state_transition,2013,2018,,,,,,,,,,,,02,Anzoategui,594.0,0.678169,0.670698,0.46111,-1.659582,0.459913,15.722368,10.690161,9.642925
state_transition,2013,2018,,,,,,,,,,,,03,Apure,303.0,0.800975,0.785536,0.861788,-2.94798,0.641561,14.188043,15.265257,7.71596
state_transition,2013,2018,,,,,,,,,,,,04,Aragua,588.0,0.748383,0.745211,0.30894,-1.490475,0.560078,17.533289,7.237916,12.222355
state_transition,2013,2018,,,,,,,,,,,,05,Barinas,474.0,0.557257,0.562111,0.463324,-4.127767,0.310536,16.701259,13.886034,13.551189
state_transition,2013,2018,,,,,,,,,,,,06,Bolivar,681.0,0.610641,0.623184,0.415222,-1.162914,0.372882,18.42756,12.530342,12.300847
state_transition,2013,2018,,,,,,,,,,,,07,Carabobo,653.0,0.717086,0.691601,0.345378,-1.777707,0.514213,18.619274,8.967798,13.822533
state_transition,2013,2018,,,,,,,,,,,,08,Cojedes,239.0,0.770014,0.772038,0.581043,-2.203336,0.592922,14.501655,10.942766,8.473211
state_transition,2013,2018,,,,,,,,,,,,09,Falcon,673.0,0.604172,0.635921,0.536485,-1.870513,0.365023,16.706312,14.834657,11.835608
state_transition,2013,2018,,,,,,,,,,,,10,Guarico,412.0,0.665718,0.677488,0.427758,-1.149444,0.443181,14.003485,8.997951,9.14157
state_transition,2013,2018,,,,,,,,,,,,11,Lara,950.0,0.672395,0.69798,0.421532,-2.716157,0.452115,20.209321,12.669443,14.284868
state_transition,2013,2018,,,,,,,,,,,,12,Merida,511.0,0.159414,0.159502,0.137024,-1.777028,0.025413,16.245066,13.96339,16.9759
