codigo_centro,cod_estado,estado,nombre_centro,electores,rank_por_tamano,residual_2006,residual_2012,n_hist,recent_distance,historical_mae,historical_rmse,historical_bias,abs_historical_bias,historical_volatility,selector,cohort,score,pasada,tolerancia_de_entrada,metodo,target,residual_2013,residual_2018
050504001,05,Barinas,ESCUELA BASICA PEDRO ELIAS GUTIERREZ,3848.0,15,10.684114,0.590791,2,0.590791,5.637452,7.56635,5.637452,5.637452,5.046661,recent_distance,common,0.590791,1,2,longitudinal,2013,,
050401006,05,Barinas,LICEO BOLIVARIANO ELIAS ARAQUE MULLER,3742.0,19,-3.876964,-1.756695,2,1.756695,2.816829,3.00972,-2.816829,2.816829,1.060135,recent_distance,common,1.756695,1,2,longitudinal,2013,,
050302007,05,Barinas,ESCUELA BASICA JOSE RAMON TRASPUESTO,3705.0,21,7.317703,-1.252467,2,1.252467,4.285085,5.249641,3.032618,3.032618,4.285085,recent_distance,common,1.252467,1,2,longitudinal,2013,,
050211012,05,Barinas,ESCUELA BASICA BOLIVARIANA CIUDAD VARYNA,3348.0,36,16.063123,-1.95468,2,1.95468,9.008902,11.442131,7.054222,7.054222,9.008902,recent_distance,common,1.95468,1,2,longitudinal,2013,,
060108025,06,Bolivar,UNIDAD EDUCATIVA NACIONAL DOCTOR LUIS BELTRAN PRIETO FIGUEROA,5664.0,8,13.370556,1.582943,2,1.582943,7.47675,9.520438,7.47675,7.47675,5.893806,recent_distance,common,1.582943,1,2,longitudinal,2013,,
060302003,06,Bolivar,UNIDAD EDUCATIVA LOS PROCERES,4708.0,19,7.036785,0.110171,2,0.110171,3.573478,4.976368,3.573478,3.573478,3.463307,recent_distance,common,0.110171,1,2,longitudinal,2013,,
060303014,06,Bolivar,ESCUELA BASICA NACIONAL JOSE LUIS AFANADOR,4356.0,34,5.75476,1.153602,2,1.153602,3.454181,4.150184,3.454181,3.454181,2.300579,recent_distance,common,1.153602,1,2,longitudinal,2013,,
060302014,06,Bolivar,ESCUELA BASICA NACIONAL EL PERU,4152.0,37,1.505279,0.441432,2,0.441432,0.973356,1.109218,0.973356,0.973356,0.531923,recent_distance,common,0.441432,1,2,longitudinal,2013,,
060302008,06,Bolivar,ESCUELA ESTADAL BASICA  AGUA SALADA,4140.0,39,0.660543,-1.64991,2,1.64991,1.155227,1.256686,-0.494683,0.494683,1.155227,recent_distance,common,1.64991,1,2,longitudinal,2013,,
060101023,06,Bolivar,ESCUELA NACIONAL BASICA ANTONIO DE BERRIOS,3899.0,46,2.228807,1.062393,2,1.062393,1.6456,1.745889,1.6456,1.6456,0.583207,recent_distance,common,1.062393,1,2,longitudinal,2013,,
