transicion,metodo,tolerance_ladder,min_electores,cod_estado,estado,cuota,n_frame,n_con_historico_frame,n_con_outcome_frame,n_seleccionados,n_con_outcome,pct_cobertura_muestra,pct_cobertura_frame_outcome,pct_maduro_estado_hist,pct_maduro_muestra_hist,error_hist_pp,pct_maduro_muestra_hist_comparable,pct_maduro_estado_outcome,pct_maduro_muestra_outcome,error_outcome_pp,swing_estado,swing_muestra,swing_error_pp,electores_estado
2018_2024,size_only,baseline,300,05,Barinas,4,582,459,582,4,4,100.0,100.0,59.604485,52.761457,-6.843028,52.761457,23.709258,15.004199,-8.705059,-35.895227,-37.757258,-1.862031,592896.0
2018_2024,size_only,baseline,300,06,Bolivar,5,514,458,514,5,5,100.0,100.0,59.815233,54.093497,-5.721736,54.093497,25.36604,19.739995,-5.626046,-34.449192,-34.353502,0.09569,810307.0
2018_2024,size_only,baseline,300,07,Carabobo,7,475,452,475,7,7,100.0,100.0,65.555724,53.522222,-12.033502,53.522222,26.589778,11.157362,-15.432416,-38.965946,-42.36486,-3.398914,1191798.0
2018_2024,size_only,baseline,300,08,Cojedes,3,222,184,222,3,3,100.0,100.0,66.92687,62.947959,-3.978912,62.947959,35.776108,27.159345,-8.616763,-31.150762,-35.788614,-4.637852,219710.0
2018_2024,size_only,baseline,300,09,Falcon,5,615,592,615,5,5,100.0,100.0,59.221804,55.249783,-3.972021,55.249783,26.981505,20.596165,-6.385339,-32.240299,-34.653618,-2.413319,650057.0
2018_2024,size_only,baseline,300,10,Guarico,4,445,391,445,4,4,100.0,100.0,73.397625,72.667313,-0.730312,72.667313,33.620677,29.024536,-4.596141,-39.776949,-43.642777,-3.865828,527291.0
2018_2024,size_only,baseline,300,11,Lara,6,681,611,681,6,6,100.0,100.0,66.720956,61.010152,-5.710805,61.010152,29.544448,21.269367,-8.27508,-37.176509,-39.740784,-2.564275,845082.0
2018_2024,size_only,baseline,300,12,Merida,4,505,466,505,4,4,100.0,100.0,66.606371,71.016193,4.409823,71.016193,21.357592,16.894696,-4.462896,-45.248779,-54.121497,-8.872718,622546.0
2018_2024,size_only,baseline,300,13,Miranda,9,842,727,842,9,9,100.0,100.0,76.103796,56.918086,-19.18571,56.918086,31.775912,10.306903,-21.469009,-44.327884,-46.611183,-2.283299,1663256.0
2018_2024,size_only,baseline,300,14,Monagas,4,414,376,414,4,4,100.0,100.0,64.569134,54.01222,-10.556914,54.01222,37.5742,23.328817,-14.245384,-26.994934,-30.683403,-3.68847,559572.0
2018_2024,size_only,baseline,300,15,Nueva Esparta,3,262,211,262,3,3,100.0,100.0,70.128847,72.266314,2.137466,72.266314,30.919589,26.097561,-4.822028,-39.209258,-46.168753,-6.959495,373158.0
2018_2024,size_only,baseline,300,16,Portuguesa,5,587,550,587,5,5,100.0,100.0,65.943872,66.406651,0.462779,66.406651,33.540814,28.041057,-5.499757,-32.403058,-38.365594,-5.962536,640090.0
2018_2024,size_only,baseline,300,17,Sucre,5,618,587,618,5,5,100.0,100.0,66.512811,62.261479,-4.251332,62.261479,47.40136,39.156392,-8.244968,-19.111451,-23.105087,-3.993636,676738.0
2018_2024,size_only,baseline,300,18,Tachira,6,667,608,667,6,6,100.0,100.0,67.981093,65.921583,-2.05951,65.921583,16.238649,12.184233,-4.054416,-51.742444,-53.73735,-1.994907,843625.0
2018_2024,size_only,baseline,300,19,Trujillo,4,591,560,591,4,4,100.0,100.0,64.62467,56.804501,-7.820169,56.804501,34.516683,25.098684,-9.417999,-30.107987,-31.705817,-1.59783,541049.0
2018_2024,size_only,baseline,300,20,Yaracuy,4,443,413,443,4,4,100.0,100.0,62.830806,53.668233,-9.162573,53.668233,36.444411,31.241752,-5.202659,-26.386395,-22.426481,3.959914,442431.0
2018_2024,size_only,baseline,300,21,Zulia,11,1025,944,1024,11,11,100.0,99.902439,72.015941,69.36631,-2.649632,69.36631,28.701011,22.57358,-6.127431,-43.314931,-46.79273,-3.477799,1990029.0
2018_2024,size_only,baseline,300,22,Amazonas,2,64,61,64,2,2,100.0,100.0,61.36296,56.182965,-5.179995,56.182965,38.284492,31.607963,-6.676528,-23.078469,-24.575002,-1.496533,69946.0
2018_2024,size_only,baseline,300,23,Delta Amacuro,2,124,98,123,2,2,100.0,99.193548,65.90959,72.95082,7.041229,72.95082,44.195574,46.754468,2.558894,-21.714016,-26.196351,-4.482335,99383.0
2018_2024,size_only,baseline,300,24,La Guaira,3,165,160,165,3,3,100.0,100.0,74.429675,72.155877,-2.273798,72.155877,35.767666,27.732094,-8.035572,-38.662009,-44.423783,-5.761774,260842.0
