transicion,metodo,tolerance_ladder,min_electores,cod_estado,estado,cuota,n_frame,n_con_historico_frame,n_con_outcome_frame,n_seleccionados,n_con_outcome,pct_cobertura_muestra,pct_cobertura_frame_outcome,pct_maduro_estado_hist,pct_maduro_muestra_hist,error_hist_pp,pct_maduro_muestra_hist_comparable,pct_maduro_estado_outcome,pct_maduro_muestra_outcome,error_outcome_pp,swing_estado,swing_muestra,swing_error_pp,electores_estado
2013_2018,legacy,baseline,300,24,La Guaira,3,202,198,202,3,3,100.0,100.0,57.085172,56.413109,-0.672063,56.413109,74.429675,74.96144,0.531764,17.344503,18.54833,1.203827,279952.0
2013_2018,size_only,baseline,300,01,Distrito Capital,9,891,859,891,9,9,100.0,100.0,51.320369,42.973306,-8.347062,42.973306,70.89212,69.543592,-1.348529,19.571752,26.570285,6.998534,1697224.0
2013_2018,size_only,baseline,300,02,Anzoategui,6,650,594,650,6,6,100.0,100.0,47.323629,38.27534,-9.048288,38.27534,60.720968,56.089284,-4.631683,13.397339,17.813944,4.416605,1066195.0
2013_2018,size_only,baseline,300,03,Apure,3,349,311,341,3,3,100.0,97.707736,61.76014,63.779942,2.019802,63.779942,69.231693,70.517302,1.285608,7.471553,6.73736,-0.734194,334268.0
2013_2018,size_only,baseline,300,04,Aragua,7,630,603,609,7,7,100.0,96.666667,54.054519,44.248141,-9.806378,44.248141,71.252347,66.24985,-5.002497,17.197829,22.00171,4.803881,1213087.0
2013_2018,size_only,baseline,300,05,Barinas,4,563,485,548,4,4,100.0,97.335702,52.188214,42.028543,-10.159671,42.028543,59.604485,53.844862,-5.759623,7.416271,11.816319,4.400048,560790.0
2013_2018,size_only,baseline,300,06,Bolivar,6,720,691,708,6,6,100.0,98.333333,47.879948,47.488806,-0.391142,47.488806,59.815233,57.306714,-2.508519,11.935285,9.817909,-2.117376,973381.0
2013_2018,size_only,baseline,300,07,Carabobo,8,711,648,704,8,8,100.0,99.015471,50.513511,25.238559,-25.274952,25.238559,65.555724,56.589855,-8.965869,15.042213,31.351297,16.309083,1561777.0
2013_2018,size_only,baseline,300,08,Cojedes,2,262,248,253,2,2,100.0,96.564885,61.165345,35.616644,-25.548701,35.616644,66.92687,52.292176,-14.634694,5.761525,16.675532,10.914007,240646.0
2013_2018,size_only,baseline,300,09,Falcon,4,729,680,721,4,4,100.0,98.902606,53.03365,39.978176,-13.055474,39.978176,59.221804,54.121253,-5.10055,6.188153,14.143077,7.954924,668149.0
2013_2018,size_only,baseline,300,10,Guarico,4,463,412,463,4,4,100.0,100.0,59.289042,53.669109,-5.619933,53.669109,73.397625,72.395351,-1.002274,14.108584,18.726243,4.617659,526963.0
2013_2018,size_only,baseline,300,11,Lara,7,1044,963,1027,7,7,100.0,98.371648,47.719486,39.21725,-8.502236,39.21725,66.720956,58.707573,-8.013384,19.001471,19.490323,0.488852,1261626.0
2013_2018,size_only,baseline,300,12,Merida,4,526,511,526,4,4,100.0,100.0,42.885591,40.379348,-2.506243,40.379348,66.606371,67.438349,0.831978,23.72078,27.059001,3.338221,602637.0
2013_2018,size_only,baseline,300,13,Miranda,10,1118,1023,1110,10,10,100.0,99.284436,47.296963,28.052122,-19.244841,28.052122,76.103796,69.734597,-6.3692,28.806834,41.682475,12.875641,2075234.0
2013_2018,size_only,baseline,300,14,Monagas,4,536,430,518,4,4,100.0,96.641791,55.464436,40.366291,-15.098145,40.366291,64.569134,53.111195,-11.457939,9.104698,12.744904,3.640206,625457.0
2013_2018,size_only,baseline,300,15,Nueva Esparta,3,245,226,245,3,3,100.0,100.0,46.909744,48.69742,1.787676,48.69742,70.128847,73.410956,3.282109,23.219104,24.713536,1.494432,350093.0
2013_2018,size_only,baseline,300,16,Portuguesa,4,660,613,654,4,4,100.0,99.090909,65.453833,66.033368,0.579535,66.033368,65.943872,69.927578,3.983706,0.490039,3.89421,3.404171,605921.0
2013_2018,size_only,baseline,300,17,Sucre,4,683,643,671,4,4,100.0,98.243045,57.483592,55.641501,-1.842091,55.641501,66.512811,62.488226,-4.024585,9.029219,6.846725,-2.182494,643440.0
2013_2018,size_only,baseline,300,18,Tachira,5,680,669,674,5,5,100.0,99.117647,36.97814,29.005594,-7.972546,29.005594,67.981093,65.253129,-2.727963,31.002952,36.247535,5.244582,868879.0
2013_2018,size_only,baseline,300,19,Trujillo,4,638,630,638,4,4,100.0,100.0,59.789413,54.434529,-5.354884,54.434529,64.62467,60.737057,-3.887613,4.835257,6.302528,1.467271,529867.0
2013_2018,size_only,baseline,300,20,Yaracuy,3,487,460,483,3,3,100.0,99.178645,56.530006,35.71095,-20.819056,35.71095,62.830806,40.69075,-22.140056,6.3008,4.9798,-1.321,430459.0
2013_2018,size_only,baseline,300,21,Zulia,12,1338,1185,1320,12,12,100.0,98.654709,47.688074,33.750611,-13.937464,33.750611,72.015941,64.945576,-7.070365,24.327867,31.194966,6.867098,2452432.0
2013_2018,size_only,baseline,300,22,Amazonas,2,145,123,138,2,2,100.0,95.172414,52.458365,56.312695,3.85433,56.312695,61.36296,55.493863,-5.869097,8.904596,-0.818831,-9.723427,107896.0
2013_2018,size_only,baseline,300,23,Delta Amacuro,2,180,172,163,2,2,100.0,90.555556,61.63058,64.370412,2.739832,64.370412,65.90959,72.95082,7.041229,4.27901,8.580407,4.301397,120242.0
2013_2018,size_only,baseline,300,24,La Guaira,3,202,198,202,3,3,100.0,100.0,57.085172,49.130879,-7.954293,49.130879,74.429675,73.22301,-1.206665,17.344503,24.092131,6.747628,279952.0
