transicion,metodo,tolerance_ladder,min_electores,cod_estado,estado,cuota,n_frame,n_con_historico_frame,n_con_outcome_frame,n_seleccionados,n_con_outcome,pct_cobertura_muestra,pct_cobertura_frame_outcome,pct_maduro_estado_hist,pct_maduro_muestra_hist,error_hist_pp,pct_maduro_muestra_hist_comparable,pct_maduro_estado_outcome,pct_maduro_muestra_outcome,error_outcome_pp,swing_estado,swing_muestra,swing_error_pp,electores_estado
2013_2018,legacy,baseline,300,01,Distrito Capital,9,891,859,891,9,9,100.0,100.0,51.320369,52.063434,0.743066,52.063434,70.89212,68.675726,-2.216394,19.571752,16.612292,-2.959459,1697224.0
2013_2018,legacy,baseline,300,02,Anzoategui,6,650,594,650,6,6,100.0,100.0,47.323629,48.082609,0.75898,48.082609,60.720968,56.858049,-3.862919,13.397339,8.77544,-4.621899,1066195.0
2013_2018,legacy,baseline,300,03,Apure,3,349,311,341,3,3,100.0,97.707736,61.76014,61.629252,-0.130887,61.629252,69.231693,68.792867,-0.438826,7.471553,7.163614,-0.307939,334268.0
2013_2018,legacy,baseline,300,04,Aragua,7,630,603,609,7,7,100.0,96.666667,54.054519,53.861675,-0.192844,53.861675,71.252347,67.14025,-4.112097,17.197829,13.278576,-3.919253,1213087.0
2013_2018,legacy,baseline,300,05,Barinas,4,563,485,548,4,4,100.0,97.335702,52.188214,51.946917,-0.241297,51.946917,59.604485,56.169684,-3.434802,7.416271,4.222767,-3.193504,560790.0
2013_2018,legacy,baseline,300,06,Bolivar,6,720,691,708,6,6,100.0,98.333333,47.879948,47.644518,-0.23543,47.644518,59.815233,53.716301,-6.098932,11.935285,6.071784,-5.863501,973381.0
2013_2018,legacy,baseline,300,07,Carabobo,8,711,648,704,8,8,100.0,99.015471,50.513511,51.133104,0.619593,51.133104,65.555724,63.285723,-2.270002,15.042213,12.152619,-2.889595,1561777.0
2013_2018,legacy,baseline,300,08,Cojedes,2,262,248,253,2,2,100.0,96.564885,61.165345,62.017118,0.851772,62.017118,66.92687,67.887088,0.960217,5.761525,5.86997,0.108445,240646.0
2013_2018,legacy,baseline,300,09,Falcon,4,729,680,721,4,4,100.0,98.902606,53.03365,53.035278,0.001628,53.035278,59.221804,55.877577,-3.344227,6.188153,2.842298,-3.345855,668149.0
2013_2018,legacy,baseline,300,10,Guarico,4,463,412,463,4,4,100.0,100.0,59.289042,59.022634,-0.266407,59.022634,73.397625,67.046534,-6.351092,14.108584,8.023899,-6.084685,526963.0
2013_2018,legacy,baseline,300,11,Lara,7,1044,963,1027,7,7,100.0,98.371648,47.719486,47.38256,-0.336926,47.38256,66.720956,61.742671,-4.978285,19.001471,14.360111,-4.641359,1261626.0
2013_2018,legacy,baseline,300,12,Merida,4,526,511,526,4,4,100.0,100.0,42.885591,42.964128,0.078537,42.964128,66.606371,68.624473,2.018102,23.72078,25.660345,1.939565,602637.0
2013_2018,legacy,baseline,300,13,Miranda,10,1118,1023,1110,10,10,100.0,99.284436,47.296963,47.74666,0.449698,47.74666,76.103796,73.371456,-2.732341,28.806834,25.624795,-3.182039,2075234.0
2013_2018,legacy,baseline,300,14,Monagas,4,536,430,518,4,4,100.0,96.641791,55.464436,55.298651,-0.165785,55.298651,64.569134,60.16198,-4.407154,9.104698,4.863329,-4.241369,625457.0
2013_2018,legacy,baseline,300,15,Nueva Esparta,3,245,226,245,3,3,100.0,100.0,46.909744,46.005155,-0.904589,46.005155,70.128847,71.860848,1.732001,23.219104,25.855693,2.63659,350093.0
2013_2018,legacy,baseline,300,16,Portuguesa,4,660,613,654,4,4,100.0,99.090909,65.453833,66.210919,0.757086,66.210919,65.943872,68.490591,2.546719,0.490039,2.279672,1.789633,605921.0
2013_2018,legacy,baseline,300,17,Sucre,4,683,643,671,4,4,100.0,98.243045,57.483592,57.570743,0.087151,57.570743,66.512811,66.287676,-0.225135,9.029219,8.716933,-0.312287,643440.0
2013_2018,legacy,baseline,300,18,Tachira,5,680,669,674,5,5,100.0,99.117647,36.97814,36.93454,-0.043601,36.93454,67.981093,60.460044,-7.521049,31.002952,23.525504,-7.477448,868879.0
2013_2018,legacy,baseline,300,19,Trujillo,4,638,630,638,4,4,100.0,100.0,59.789413,59.729784,-0.059629,59.729784,64.62467,68.480222,3.855552,4.835257,8.750438,3.915181,529867.0
2013_2018,legacy,baseline,300,20,Yaracuy,3,487,460,483,3,3,100.0,99.178645,56.530006,55.219261,-1.310745,55.219261,62.830806,51.408299,-11.422507,6.3008,-3.810961,-10.111761,430459.0
2013_2018,legacy,baseline,300,21,Zulia,12,1338,1185,1320,12,12,100.0,98.654709,47.688074,47.753244,0.06517,47.753244,72.015941,69.976072,-2.03987,24.327867,22.222827,-2.10504,2452432.0
2013_2018,legacy,baseline,300,22,Amazonas,2,145,123,138,2,2,100.0,95.172414,52.458365,53.126245,0.66788,53.126245,61.36296,56.111758,-5.251203,8.904596,2.985513,-5.919082,107896.0
2013_2018,legacy,baseline,300,23,Delta Amacuro,2,180,172,163,2,2,100.0,90.555556,61.63058,62.762111,1.131531,62.762111,65.90959,78.172999,12.263409,4.27901,15.410888,11.131877,120242.0
