codigo_centro,cod_estado,nombre_centro,estado,electores,mesas,rank_por_tamano,hist_pct_maduro_centro,hist_pct_maduro_estado,hist_diff_abs_pp,pasada,tolerancia_de_entrada,metodo,transicion
070704005,07,ESCUELA MARIA CONCEPCION DE BOLIVAR,Carabobo,4107,6,116,49.708794,50.513511,0.804717,1,2,legacy,2013_2018
070401006,07,PRE ESCOLAR EL SAMAN CEI BOLIVARIANO EL SAMAN,Carabobo,3993,6,127,52.050184,50.513511,1.536673,1,2,legacy,2013_2018
070703004,07,ESCUELA BASICA LA SALLE BALOCHE,Carabobo,3935,6,133,49.941107,50.513511,0.572404,1,2,legacy,2013_2018
070705004,07,UNIDAD EDUCATIVA COLEGIO CENTRO ESTUDIO CARABOBO,Carabobo,3509,5,151,51.764706,50.513511,1.251195,1,2,legacy,2013_2018
080201004,08,ESCUELA BASICA ANTONIO JOSE DE SUCRE,Cojedes,2910,4,15,62.264151,61.165345,1.098806,1,2,legacy,2013_2018
080301002,08,LICEO BOLIVARIANO HIGINIO MORALES,Cojedes,2894,4,16,61.767442,61.165345,0.602096,1,2,legacy,2013_2018
091002014,09,ESCUELA TECNICA INDUSTRIAL ROBINSONIANA CORO  EXTENSION SAN JOSE,Falcon,4178,6,7,51.206518,53.03365,1.827132,1,2,legacy,2013_2018
091001020,09,ESCUELA BASICA VELITA II,Falcon,3696,5,19,54.666245,53.03365,1.632595,1,2,legacy,2013_2018
091001022,09,COMPLEJO EDUCATIVO MIGUEL LOPEZ GARCIA,Falcon,3683,5,20,54.483464,53.03365,1.449814,1,2,legacy,2013_2018
090401007,09,ESCUELA BÁSICA ANTIGUO AEROPUERTO,Falcon,3466,5,28,51.658951,53.03365,1.3747,1,2,legacy,2013_2018
100701003,10,ESCUELA BASICA NACIONAL RÓMULO GALLEGOS,Guarico,5067,7,4,58.064516,59.289042,1.224525,1,2,legacy,2013_2018
101101001,10,ESCUELA BASICA CARLOS IRAZABAL PEREZ,Guarico,4551,6,7,60.46389,59.289042,1.174849,1,2,legacy,2013_2018
100301009,10,ESCUELA BASICA CELINA ACOSTA DE VIANA,Guarico,4397,6,8,59.10275,59.289042,0.186292,1,2,legacy,2013_2018
100301021,10,LICEO FRANCISCO DE MIRANDA,Guarico,4005,6,19,58.421053,59.289042,0.867989,1,2,legacy,2013_2018
110207048,11,ESCUELA BASICA SIMON BOLIVAR,Lara,7145,10,3,48.099628,47.719486,0.380142,1,2,legacy,2013_2018
110207015,11,UNIDAD EDUCATVA BERNABE PLANAS,Lara,6514,9,5,46.332894,47.719486,1.386592,1,2,legacy,2013_2018
110204001,11,UNIDAD EDUCATIVA CORONEL GENARO VASQUEZ,Lara,5122,7,13,48.116357,47.719486,0.396871,1,2,legacy,2013_2018
110601017,11,UNIDAD EDUCATIVA ESTADAL RAIMUNDO PERNALETE,Lara,4398,6,20,48.577929,47.719486,0.858444,1,2,legacy,2013_2018
110601011,11,UNIDAD EDUCATIVA NACIONAL EXPEDITO CORTES,Lara,4238,6,26,46.286794,47.719486,1.432691,1,2,legacy,2013_2018
110601014,11,ESCUELA BASICA ARGENIS GRATEROL,Lara,4064,6,36,47.258198,47.719486,0.461288,1,2,legacy,2013_2018
110601019,11,UNIDAD EDUCATIVA NACIONAL  JUAN BAUTISTA FRANCO,Lara,3881,5,46,46.63801,47.719486,1.081475,1,2,legacy,2013_2018
120806002,12,UNIDAD EDUCATIVA ANDRES ELOY BLANCO,Merida,4709,6,1,42.17542,42.885591,0.710171,1,2,legacy,2013_2018
120107003,12,ESCUELA BASICA ANDRES BELLO,Merida,4375,6,3,44.389027,42.885591,1.503436,1,2,legacy,2013_2018
120806001,12,GRUPO ESCOLAR EL EDUCADOR,Merida,3574,5,11,41.290528,42.885591,1.595063,1,2,legacy,2013_2018
120406004,12,AULAS ANEXAS EDELMIRA LOBO,Merida,3431,5,18,44.046365,42.885591,1.160774,1,2,legacy,2013_2018
131101024,13,ESCUELA EL INGENIO,Miranda,5989,8,34,47.491704,47.296963,0.194741,1,2,legacy,2013_2018
131603002,13,UNIDAD EDUCATIVA ESTADAL  ADOLFO NAVAS  CORONADO,Miranda,5762,8,41,46.74864,47.296963,0.548322,1,2,legacy,2013_2018
130903007,13,UNIDAD EDUCATIVA FE Y ALEGRIA PADRE JOAQUIN LOPEZ,Miranda,4876,7,75,48.750336,47.296963,1.453373,1,2,legacy,2013_2018
130301037,13,UNIDAD ESTADAL EDUCATIVA CECILIO ACOSTA 1,Miranda,4830,7,79,48.217687,47.296963,0.920724,1,2,legacy,2013_2018
130901091,13,ESCUELA BASICA NACIONAL . ANTONIO ORDONEZ,Miranda,4760,7,86,48.246364,47.296963,0.949402,1,2,legacy,2013_2018
131603005,13,UNIDAD EDUCATIVA NACIONAL TITO SALAS,Miranda,4657,7,91,49.162615,47.296963,1.865652,1,2,legacy,2013_2018
130901099,13,UNIDAD EDUCATIVA NACIONAL LICEO MARIANO PICON SALAS,Miranda,4078,6,123,46.377264,47.296963,0.919698,1,2,legacy,2013_2018
131101007,13,GRUPO ESCOLAR ELIAS CALIXTO POMPA,Miranda,4010,6,127,47.066015,47.296963,0.230948,1,2,legacy,2013_2018
130901021,13,ESCUELA TECNICA LEONARDO INFANTE,Miranda,3903,5,139,47.940075,47.296963,0.643112,1,2,legacy,2013_2018
130801033,13,UNIDAD EDUCATIVA BENITO CANONICO,Miranda,3634,5,167,47.458725,47.296963,0.161762,1,2,legacy,2013_2018
140807001,14,ESCUELA TERESA CARREÑO,Monagas,3479,5,17,54.7759,55.464436,0.688536,1,2,legacy,2013_2018
