transicion,metodo,tolerance_ladder,min_electores,cod_estado,estado,cuota,n_frame,n_con_historico_frame,n_con_outcome_frame,n_seleccionados,n_con_outcome,pct_cobertura_muestra,pct_cobertura_frame_outcome,pct_maduro_estado_hist,pct_maduro_muestra_hist,error_hist_pp,pct_maduro_muestra_hist_comparable,pct_maduro_estado_outcome,pct_maduro_muestra_outcome,error_outcome_pp,swing_estado,swing_muestra,swing_error_pp,electores_estado,target,selector,cohort,n_difiere_otras_features
2013,longitudinal,baseline,300,02,Anzoategui,6,598,598,598,6,6,100.0,100.0,51.581067,50.119824,-1.461244,50.119824,47.323629,45.235809,-2.08782,-4.257439,-4.884015,-0.626576,1006509.0,2013,historical_mae,common,6
2013,longitudinal,baseline,300,03,Apure,3,317,316,317,3,3,100.0,100.0,66.112384,67.242516,1.130132,67.242516,61.76014,62.97648,1.21634,-4.352244,-4.266036,0.086208,309558.0,2013,historical_mae,common,2
2013,longitudinal,baseline,300,04,Aragua,7,623,623,623,7,7,100.0,100.0,58.642441,57.304468,-1.337973,57.304468,54.054519,52.593058,-1.46146,-4.587922,-4.711409,-0.123487,1164714.0,2013,historical_mae,common,7
2013,longitudinal,baseline,300,05,Barinas,4,508,506,508,4,4,100.0,100.0,59.234242,59.381926,0.147683,59.381926,52.188214,51.461557,-0.726657,-7.046028,-7.920368,-0.87434,523946.0,2013,historical_mae,common,4
2013,longitudinal,baseline,300,06,Bolivar,6,708,707,708,6,6,100.0,100.0,53.738039,53.410538,-0.327501,53.410538,47.879948,44.944922,-2.935026,-5.858091,-8.465616,-2.607525,941252.0,2013,historical_mae,common,6
2013,longitudinal,baseline,300,07,Carabobo,8,658,658,658,8,8,100.0,100.0,54.506635,52.973961,-1.532674,52.973961,50.513511,48.501099,-2.012412,-3.993125,-4.472862,-0.479738,1516239.0,2013,historical_mae,common,8
2013,longitudinal,baseline,300,08,Cojedes,2,248,248,248,2,2,100.0,100.0,65.315293,66.108007,0.792715,66.108007,61.165345,61.560084,0.394739,-4.149947,-4.547923,-0.397976,223028.0,2013,historical_mae,common,2
2013,longitudinal,baseline,300,09,Falcon,4,691,691,691,4,4,100.0,100.0,59.876416,59.530945,-0.345472,59.530945,53.03365,53.469649,0.435998,-6.842766,-6.061296,0.78147,634614.0,2013,historical_mae,common,4
2013,longitudinal,baseline,300,10,Guarico,4,431,422,431,4,4,100.0,100.0,64.171017,64.167807,-0.003211,64.167807,59.289042,57.212411,-2.07663,-4.881976,-6.955395,-2.07342,500154.0,2013,historical_mae,common,3
2013,longitudinal,baseline,300,11,Lara,7,990,990,990,7,7,100.0,100.0,51.456205,50.720143,-0.736061,50.720143,47.719486,45.406098,-2.313388,-3.736719,-5.314045,-1.577326,1197690.0,2013,historical_mae,common,7
