transicion,similarity,centros_seleccionados,estados_evaluados,mae,rmse,medae,pct_dentro_2pp,pct_dentro_5pp,pct_dentro_10pp,max_error_abs,max_error_estado,max_error_firmado,mae_swing_error_pp,rmse_swing_error_pp,centros_comunes_tres_variantes,pct_comun_sobre_120
2013_2018,full_profile,120,24,4.637548,7.253628,3.568437,0.208333,0.75,0.916667,28.592128,Delta Amacuro,28.592128,4.656356,7.18152,72,60.0
2013_2018,top2_gap,120,24,3.904698,5.991275,3.381098,0.25,0.833333,0.958333,24.366653,Delta Amacuro,24.366653,3.865285,6.014375,72,60.0
2013_2018,winner_share,120,24,4.070452,5.204528,3.389514,0.25,0.708333,0.875,12.263409,Delta Amacuro,12.263409,4.071972,5.031014,72,60.0
2018_2024,full_profile,120,24,3.375681,4.041294,2.812928,0.333333,0.75,1.0,8.90525,Barinas,-8.90525,3.328664,4.040409,25,20.833333
2018_2024,top2_gap,120,24,4.099471,4.706127,4.124895,0.25,0.666667,1.0,9.841691,Barinas,-9.841691,3.792333,4.499588,25,20.833333
2018_2024,winner_share,120,24,3.386584,4.209143,2.930494,0.333333,0.708333,1.0,9.906986,Barinas,-9.906986,3.40888,4.298307,25,20.833333
