codigo_centro,codigo_cne_original,nombre_centro,estado,municipio,parroquia,num_mesas,electores_inscritos,votantes,votos_validos,votos_nulos,votos_gobierno,votos_oposicion,votos_otros,votos_falcon,votos_bertucci_quijada,pct_gobierno,pct_oposicion,pct_otros,participacion,detalle_otros_json,fuente,doi,corte_fuente
010101001,10101001,UNIDAD EDUCATIVA DISTRITAL MADARIAGA,DTTO. CAPITAL,LIBERTADOR,ALTAGRACIA,3,2221,814,779,35,495,198,86,198,86,63.543004,25.417202,11.039795,36.650158,"{""bertucci_quijada"":86,""falcon"":198}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010101002,10101002,UNIDAD EDUCATIVA SANTA BARBARA,DTTO. CAPITAL,LIBERTADOR,ALTAGRACIA,3,2319,857,813,44,500,200,113,200,113,61.500615,24.600246,13.899139,36.955584,"{""bertucci_quijada"":113,""falcon"":200}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010101003,10101003,UNIDAD EDUCATIVA PRIVADA COLEGIO LA SALLE,DTTO. CAPITAL,LIBERTADOR,ALTAGRACIA,9,6883,1903,1845,58,1102,552,191,552,191,59.728997,29.918699,10.352304,27.647828,"{""bertucci_quijada"":191,""falcon"":552}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010101004,10101004,UNIDAD EDUCATIVA NACIONAL DOCTOR FRANCISCO MENDOZA,DTTO. CAPITAL,LIBERTADOR,ALTAGRACIA,3,1777,777,736,41,530,134,72,134,72,72.01087,18.206522,9.782609,43.72538,"{""bertucci_quijada"":72,""falcon"":134}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010101006,10101006,COLEGIO UNIVERSITARIO FRANCISCO DE MIRANDA,DTTO. CAPITAL,LIBERTADOR,ALTAGRACIA,7,4832,1952,1898,54,1289,429,180,429,180,67.913593,22.60274,9.483667,40.397351,"{""bertucci_quijada"":180,""falcon"":429}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010101007,10101007,ESCUELA NACIONAL DE ARTES ESCÉNICAS CESAR RENGIFO,DTTO. CAPITAL,LIBERTADOR,ALTAGRACIA,3,2114,820,789,31,519,185,85,185,85,65.779468,23.447402,10.773131,38.789026,"{""bertucci_quijada"":85,""falcon"":185}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010101008,10101008,UNIDAD EDUCATIVA NACIONAL SIMÓN BOLÍVAR,DTTO. CAPITAL,LIBERTADOR,ALTAGRACIA,7,4730,1829,1772,57,1189,408,175,408,175,67.099323,23.024831,9.875847,38.668076,"{""bertucci_quijada"":175,""falcon"":408}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010101009,10101009,UNIDAD EDUCATIVA SANTA TERESA DEL NIÑO JESÚS,DTTO. CAPITAL,LIBERTADOR,ALTAGRACIA,4,2496,736,707,29,471,154,82,154,82,66.619519,21.782178,11.598303,29.487179,"{""bertucci_quijada"":82,""falcon"":154}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010101010,10101010,CENTRO DE EDUCACIÓN INICIAL RAFAEL MARIA BARALT,DTTO. CAPITAL,LIBERTADOR,ALTAGRACIA,2,1363,762,747,15,486,197,64,197,64,65.060241,26.372155,8.567604,55.90609,"{""bertucci_quijada"":64,""falcon"":197}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010101025,10101025,CENTRO MUNICIPAL DE ATENCIÓN INTEGRAL ALTAGRACIA (CMAI),DTTO. CAPITAL,LIBERTADOR,ALTAGRACIA,2,906,547,528,19,387,95,46,95,46,73.295455,17.992424,8.712121,60.375276,"{""bertucci_quijada"":46,""falcon"":95}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010101026,10101026,CENTRO DE EDUCACIÓN INICIAL SAMUEL ROBINSÓN,DTTO. CAPITAL,LIBERTADOR,ALTAGRACIA,2,1068,679,667,12,501,131,35,131,35,75.112444,19.64018,5.247376,63.576779,"{""bertucci_quijada"":35,""falcon"":131}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010101027,10101027,UNIDAD EDUCATIVA DISTRITAL ANTONIO ORNES,DTTO. CAPITAL,LIBERTADOR,ALTAGRACIA,2,1478,763,742,21,533,139,70,139,70,71.832884,18.733154,9.433962,51.623816,"{""bertucci_quijada"":70,""falcon"":139}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010101028,10101028,BIBLIOTECA NACIONAL SALA UNO,DTTO. CAPITAL,LIBERTADOR,ALTAGRACIA,3,2279,832,817,15,539,194,84,194,84,65.973072,23.74541,10.281518,36.50724,"{""bertucci_quijada"":84,""falcon"":194}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010101031,10101031,CASA DE NUESTRA AMERICA JOSE MARTI,DTTO. CAPITAL,LIBERTADOR,ALTAGRACIA,2,1325,464,446,18,309,85,52,85,52,69.282511,19.058296,11.659193,35.018868,"{""bertucci_quijada"":52,""falcon"":85}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010101032,10101032,UNIDAD EDUCATIVA FUENTE DEL SABER,DTTO. CAPITAL,LIBERTADOR,ALTAGRACIA,1,483,301,292,9,220,45,27,45,27,75.342466,15.410959,9.246575,62.318841,"{""bertucci_quijada"":27,""falcon"":45}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010101033,10101033,UNIDAD EDUCATIVA CENTRO  ORIENTACIÓN PEDAGÓGICA  ANDRÉS ELOY BLANCOELOY BLANCO,DTTO. CAPITAL,LIBERTADOR,ALTAGRACIA,1,522,294,278,16,206,41,31,41,31,74.100719,14.748201,11.151079,56.321839,"{""bertucci_quijada"":31,""falcon"":41}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010101035,10101035,CASA VILLAS DEL SOL,DTTO. CAPITAL,LIBERTADOR,ALTAGRACIA,1,284,231,220,11,179,23,18,23,18,81.363636,10.454545,8.181818,81.338028,"{""bertucci_quijada"":18,""falcon"":23}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010102004,10102004,ESCUELA MUNICIPAL JOSÉ RAMÓN CAMEJO,DTTO. CAPITAL,LIBERTADOR,CANDELARIA,3,1676,813,791,22,577,138,76,138,76,72.945638,17.446271,9.608091,48.508353,"{""bertucci_quijada"":76,""falcon"":138}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010102005,10102005,COLEGIO LA VIRGEN NIÑA,DTTO. CAPITAL,LIBERTADOR,CANDELARIA,3,2106,910,876,34,613,182,81,182,81,69.977169,20.776256,9.246575,43.209877,"{""bertucci_quijada"":81,""falcon"":182}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010102006,10102006,COLEGIO SAN FRANCISCO DE SALES,DTTO. CAPITAL,LIBERTADOR,CANDELARIA,6,4210,877,834,43,499,245,90,245,90,59.832134,29.376499,10.791367,20.831354,"{""bertucci_quijada"":90,""falcon"":245}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010102007,10102007,ESCUELA BASICA JOSEFINA DAVIOT,DTTO. CAPITAL,LIBERTADOR,CANDELARIA,3,1643,367,356,11,229,95,32,95,32,64.325843,26.685393,8.988764,22.337188,"{""bertucci_quijada"":32,""falcon"":95}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010102008,10102008,ESCUELA EXPERIMENTAL VENEZUELA,DTTO. CAPITAL,LIBERTADOR,CANDELARIA,7,5119,1611,1551,60,1031,330,190,330,190,66.473243,21.276596,12.250161,31.47099,"{""bertucci_quijada"":190,""falcon"":330}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010102009,10102009,PATRONATO SAN JOSÉ DE TARBES,DTTO. CAPITAL,LIBERTADOR,CANDELARIA,4,3033,625,600,25,312,191,97,191,97,52.0,31.833333,16.166667,20.60666,"{""bertucci_quijada"":97,""falcon"":191}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010102010,10102010,LICEO ANDRÉS BELLO,DTTO. CAPITAL,LIBERTADOR,CANDELARIA,17,12283,3256,3121,135,1948,849,324,849,324,62.415892,27.20282,10.381288,26.508182,"{""bertucci_quijada"":324,""falcon"":849}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010102011,10102011,ESCUELA BASICA NACIONAL JOSE ANGEL ALAMO,DTTO. CAPITAL,LIBERTADOR,CANDELARIA,9,6354,1392,1347,45,789,421,137,421,137,58.57461,31.25464,10.17075,21.90746,"{""bertucci_quijada"":137,""falcon"":421}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010102012,10102012,OFICINA DEL MINISTERIO DEL TRABAJO,DTTO. CAPITAL,LIBERTADOR,CANDELARIA,3,1811,480,460,20,280,143,37,143,37,60.869565,31.086957,8.043478,26.504694,"{""bertucci_quijada"":37,""falcon"":143}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010102013,10102013,UNIDAD EDUCATIVA LICEO ALCAZAR,DTTO. CAPITAL,LIBERTADOR,CANDELARIA,5,3439,826,794,32,489,222,83,222,83,61.586902,27.959698,10.453401,24.01861,"{""bertucci_quijada"":83,""falcon"":222}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010102014,10102014,UNIDAD EDUCATIVA COLEGIO LUIS DE CAMOES,DTTO. CAPITAL,LIBERTADOR,CANDELARIA,4,2361,520,503,17,278,170,55,170,55,55.26839,33.797217,10.934394,22.024566,"{""bertucci_quijada"":55,""falcon"":170}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010102015,10102015,INSTITUTO UNITARIO DEL CENTRO,DTTO. CAPITAL,LIBERTADOR,CANDELARIA,5,3449,710,675,35,405,196,74,196,74,60.0,29.037037,10.962963,20.585677,"{""bertucci_quijada"":74,""falcon"":196}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010102017,10102017,IPOSTEL,DTTO. CAPITAL,LIBERTADOR,CANDELARIA,4,2631,761,746,15,472,194,80,194,80,63.270777,26.005362,10.723861,28.924363,"{""bertucci_quijada"":80,""falcon"":194}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010102018,10102018,COLEGIO DORA BURGUEÑO,DTTO. CAPITAL,LIBERTADOR,CANDELARIA,1,714,201,196,5,114,58,24,58,24,58.163265,29.591837,12.244898,28.151261,"{""bertucci_quijada"":24,""falcon"":58}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010102019,10102019,CENTRO DE EDUCACION INICIAL BOLIVARIANO SIMONCITO,DTTO. CAPITAL,LIBERTADOR,CANDELARIA,2,932,264,254,10,153,67,34,67,34,60.23622,26.377953,13.385827,28.32618,"{""bertucci_quijada"":34,""falcon"":67}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010103001,10103001,INSTITUTO CICLO DIVERSIFICADO FERMÍN TORO,DTTO. CAPITAL,LIBERTADOR,CATEDRAL,11,8079,4183,4012,171,3282,449,281,449,281,81.804586,11.191426,7.003988,51.77621,"{""bertucci_quijada"":281,""falcon"":449}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010103002,10103002,CASA COLONIAL SANTA INÉS CANO AMARILLO,DTTO. CAPITAL,LIBERTADOR,CATEDRAL,2,1559,623,601,22,453,102,46,102,46,75.374376,16.971714,7.65391,39.961514,"{""bertucci_quijada"":46,""falcon"":102}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010103003,10103003,OFICINA CONCEJO MUNICIPAL,DTTO. CAPITAL,LIBERTADOR,CATEDRAL,3,2162,1003,982,21,750,142,90,142,90,76.374745,14.460285,9.164969,46.392229,"{""bertucci_quijada"":90,""falcon"":142}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010103004,10103004,ESCUELA BÁSICA BOLÍVAR,DTTO. CAPITAL,LIBERTADOR,CATEDRAL,3,1700,801,767,34,534,164,69,164,69,69.621904,21.382008,8.996089,47.117647,"{""bertucci_quijada"":69,""falcon"":164}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010103005,10103005,UNIDAD EDUCATIVA SAN RAFAEL DE PAGUITA,DTTO. CAPITAL,LIBERTADOR,CATEDRAL,5,3342,1412,1363,49,1100,186,77,186,77,80.704329,13.646368,5.649303,42.25015,"{""bertucci_quijada"":77,""falcon"":186}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010103006,10103006,UNIDAD EDUCATIVA COLEGIO ÁVILA,DTTO. CAPITAL,LIBERTADOR,CATEDRAL,3,2343,964,937,27,678,156,103,156,103,72.358591,16.648879,10.992529,41.143833,"{""bertucci_quijada"":103,""falcon"":156}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010103008,10103008,TORRE EL CHORRO,DTTO. CAPITAL,LIBERTADOR,CATEDRAL,1,357,201,195,6,172,12,11,12,11,88.205128,6.153846,5.641026,56.302521,"{""bertucci_quijada"":11,""falcon"":12}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010104001,10104001,ESCUELA BÁSICA PRIVADA COLEGIO SAN FRANCISCO JAVIER,DTTO. CAPITAL,LIBERTADOR,LA PASTORA,2,1582,622,614,8,387,133,94,133,94,63.029316,21.661238,15.309446,39.31732,"{""bertucci_quijada"":94,""falcon"":133}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010104002,10104002,UNIDAD EDUCATIVA DISTRITAL JOSÉ GIL FORTUL,DTTO. CAPITAL,LIBERTADOR,LA PASTORA,3,1987,777,755,22,485,166,104,166,104,64.238411,21.986755,13.774834,39.104177,"{""bertucci_quijada"":104,""falcon"":166}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010104003,10104003,AMBULATORIO NORTE,DTTO. CAPITAL,LIBERTADOR,LA PASTORA,1,723,264,260,4,173,57,30,57,30,66.538462,21.923077,11.538462,36.514523,"{""bertucci_quijada"":30,""falcon"":57}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010104004,10104004,UNIDAD EDUCATIVA DISTRITAL BOLIVARIANA JUAN BAUTISTA ALBERDI,DTTO. CAPITAL,LIBERTADOR,LA PASTORA,6,4363,2134,2077,57,1543,385,149,385,149,74.289841,18.536351,7.173808,48.9113,"{""bertucci_quijada"":149,""falcon"":385}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010104005,10104005,ESCUELA BÁSICA NACIONAL BOLIVARIANA LEÓN TRUJILLO,DTTO. CAPITAL,LIBERTADOR,LA PASTORA,2,966,516,508,8,377,92,39,92,39,74.212598,18.110236,7.677165,53.416149,"{""bertucci_quijada"":39,""falcon"":92}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010104006,10104006,JARDÍN DE INFANCIA DOCTORA  CARMEN VERÓNICA COELLO,DTTO. CAPITAL,LIBERTADOR,LA PASTORA,2,810,413,398,15,291,75,32,75,32,73.115578,18.844221,8.040201,50.987654,"{""bertucci_quijada"":32,""falcon"":75}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010104010,10104010,UNIDAD EDUCATIVA DISTRITAL  ALBERTINA ANDRESSEN,DTTO. CAPITAL,LIBERTADOR,LA PASTORA,1,668,402,392,10,281,86,25,86,25,71.683673,21.938776,6.377551,60.179641,"{""bertucci_quijada"":25,""falcon"":86}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010104011,10104011,UNIDAD EDUCATIVA DISTRITAL UNITARIA NUMERO  44,DTTO. CAPITAL,LIBERTADOR,LA PASTORA,1,500,245,239,6,177,49,13,49,13,74.058577,20.502092,5.439331,49.0,"{""bertucci_quijada"":13,""falcon"":49}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010104012,10104012,UNIDAD EDUCATIVA PRIVADA COLEGIO AGUSTINIANO SAN JUDAS TADEO,DTTO. CAPITAL,LIBERTADOR,LA PASTORA,5,3770,1499,1453,46,902,404,147,404,147,62.078458,27.804542,10.116999,39.761273,"{""bertucci_quijada"":147,""falcon"":404}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010104013,10104013,CENTRO DE SALUD INTEGRAL DOCTOR JOSÉ IZQUIERDO,DTTO. CAPITAL,LIBERTADOR,LA PASTORA,2,1399,709,696,13,482,160,54,160,54,69.252874,22.988506,7.758621,50.679056,"{""bertucci_quijada"":54,""falcon"":160}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010104014,10104014,LICEO BOLIVARIANO LINO GALLARDO,DTTO. CAPITAL,LIBERTADOR,LA PASTORA,5,3322,1552,1484,68,993,347,144,347,144,66.913747,23.382749,9.703504,46.718844,"{""bertucci_quijada"":144,""falcon"":347}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010104015,10104015,ESCUELA BÁSICA NACIONAL PARROQUIA LA PASTORA,DTTO. CAPITAL,LIBERTADOR,LA PASTORA,2,1083,520,509,11,362,100,47,100,47,71.119843,19.646365,9.233792,48.014774,"{""bertucci_quijada"":47,""falcon"":100}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010104016,10104016,MATERNAL MANUEL CABRÉ,DTTO. CAPITAL,LIBERTADOR,LA PASTORA,1,678,270,269,1,163,78,28,78,28,60.594796,28.996283,10.408922,39.823009,"{""bertucci_quijada"":28,""falcon"":78}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010104017,10104017,PRE ESCOLAR MANUEL CABRÉ,DTTO. CAPITAL,LIBERTADOR,LA PASTORA,2,1031,412,407,5,261,98,48,98,48,64.127764,24.078624,11.793612,39.961203,"{""bertucci_quijada"":48,""falcon"":98}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010104018,10104018,UNIDAD EDUCATIVA NACIONAL BOLIVARIANA CRUCITA DELGADO,DTTO. CAPITAL,LIBERTADOR,LA PASTORA,4,2929,1116,1067,49,724,219,124,219,124,67.853796,20.524836,11.621368,38.101741,"{""bertucci_quijada"":124,""falcon"":219}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010104019,10104019,UNIDAD EDUCATIVA PRIMAVERA,DTTO. CAPITAL,LIBERTADOR,LA PASTORA,2,1053,440,422,18,281,104,37,104,37,66.587678,24.64455,8.767773,41.785375,"{""bertucci_quijada"":37,""falcon"":104}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010104022,10104022,UNIDAD EDUCATIVA SAN FRANCISCO JAVIER,DTTO. CAPITAL,LIBERTADOR,LA PASTORA,5,3447,1467,1416,51,984,284,148,284,148,69.491525,20.056497,10.451977,42.558747,"{""bertucci_quijada"":148,""falcon"":284}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010104024,10104024,UNIDAD EDUCATIVA DISTRITAL  ENRIQUE CHAUMER,DTTO. CAPITAL,LIBERTADOR,LA PASTORA,6,4235,2011,1970,41,1457,367,146,367,146,73.959391,18.629442,7.411168,47.485242,"{""bertucci_quijada"":146,""falcon"":367}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010104025,10104025,UNIDAD EDUCATIVA PRIVADA COLEGIO MODERNO,DTTO. CAPITAL,LIBERTADOR,LA PASTORA,4,2579,1102,1073,29,706,266,101,266,101,65.796831,24.790308,9.412861,42.72974,"{""bertucci_quijada"":101,""falcon"":266}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010104026,10104026,UNIDAD EDUCATIVA DISTRITAL ANTONIO VAAMONDE,DTTO. CAPITAL,LIBERTADOR,LA PASTORA,1,660,310,302,8,196,75,31,75,31,64.900662,24.834437,10.264901,46.969697,"{""bertucci_quijada"":31,""falcon"":75}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010104027,10104027,UNIDAD EDUCATIVA PRIVADA INSTITUTO SAN JUDAS TADEO,DTTO. CAPITAL,LIBERTADOR,LA PASTORA,1,759,312,303,9,192,76,35,76,35,63.366337,25.082508,11.551155,41.106719,"{""bertucci_quijada"":35,""falcon"":76}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010104028,10104028,LICEO BOLIVARIANO PERÚ DE LA CROIX,DTTO. CAPITAL,LIBERTADOR,LA PASTORA,5,3623,1547,1503,44,1051,293,159,293,159,69.926813,19.494345,10.578842,42.69942,"{""bertucci_quijada"":159,""falcon"":293}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010104029,10104029,UNIDAD EDUCATIVA NACIONAL BOLIVARIANA REPUBLICA DE BOLIVIA,DTTO. CAPITAL,LIBERTADOR,LA PASTORA,4,2829,1156,1132,24,813,205,114,205,114,71.819788,18.109541,10.070671,40.862496,"{""bertucci_quijada"":114,""falcon"":205}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010104030,10104030,UNIDAD EDUCATIVA PRIVADA COLEGIO AGUSTINIANO LA DIVINA PASTORA,DTTO. CAPITAL,LIBERTADOR,LA PASTORA,4,2920,1037,1005,32,661,223,121,223,121,65.771144,22.189055,12.039801,35.513699,"{""bertucci_quijada"":121,""falcon"":223}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010104031,10104031,UNIVERSIDAD CATÓLICA SANTA ROSA,DTTO. CAPITAL,LIBERTADOR,LA PASTORA,2,1251,463,448,15,282,106,60,106,60,62.946429,23.660714,13.392857,37.010392,"{""bertucci_quijada"":60,""falcon"":106}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010104032,10104032,UNIDAD EDUCATIVA NACIONAL BOLIVARIANA JOSÉ IGNACIO PAZ CASTILLO,DTTO. CAPITAL,LIBERTADOR,LA PASTORA,2,1518,655,625,30,412,149,64,149,64,65.92,23.84,10.24,43.14888,"{""bertucci_quijada"":64,""falcon"":149}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010104033,10104033,UNIDAD EDUCATIVA LICEO BOLIVARIANO AGUSTÍN AVELEDO,DTTO. CAPITAL,LIBERTADOR,LA PASTORA,6,4235,1638,1558,80,1091,327,140,327,140,70.025674,20.988447,8.985879,38.677686,"{""bertucci_quijada"":140,""falcon"":327}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010104034,10104034,UNIDAD EDUCATIVA PRIVADA MONSEÑOR CASTILLO,DTTO. CAPITAL,LIBERTADOR,LA PASTORA,2,974,341,330,11,198,90,42,90,42,60.0,27.272727,12.727273,35.010267,"{""bertucci_quijada"":42,""falcon"":90}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010104036,10104036,UNIDAD EDUCATIVA NACIONAL BOLIVARIANA 5 DE JULIO,DTTO. CAPITAL,LIBERTADOR,LA PASTORA,3,1803,694,665,29,426,164,75,164,75,64.06015,24.661654,11.278195,38.491403,"{""bertucci_quijada"":75,""falcon"":164}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010104037,10104037,UNIDAD EDUCATIVA DISTRITAL URDANETA,DTTO. CAPITAL,LIBERTADOR,LA PASTORA,2,1158,457,451,6,285,120,46,120,46,63.192905,26.607539,10.199557,39.464594,"{""bertucci_quijada"":46,""falcon"":120}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010104038,10104038,UNIDAD EDUCATIVA NACIONAL BOLIVARIANA ESTEBAN GIL BORGES,DTTO. CAPITAL,LIBERTADOR,LA PASTORA,3,1890,743,718,25,493,159,66,159,66,68.662953,22.144847,9.192201,39.312169,"{""bertucci_quijada"":66,""falcon"":159}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010104039,10104039,UNIDAD EDUCATIVA  DISTRITAL RIBAS,DTTO. CAPITAL,LIBERTADOR,LA PASTORA,2,953,373,353,20,227,89,37,89,37,64.305949,25.212465,10.481586,39.139559,"{""bertucci_quijada"":37,""falcon"":89}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
